Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,0.67,0.67,0.655,0.66,1081100,0.65132
2015-12-29,0.665,0.67,0.66,0.665,1037000,0.65625
2015-12-28,0.665,0.675,0.66,0.665,664000,0.65625
2015-12-25,0.665,0.665,0.665,0.665,000,0.65625
2015-12-24,0.675,0.68,0.66,0.665,829300,0.65625
2015-12-23,0.68,0.69,0.665,0.67,1044700,0.66118
2015-12-22,0.685,0.69,0.675,0.68,1158000,0.67105
2015-12-21,0.69,0.69,0.675,0.685,903500,0.67599
2015-12-18,0.685,0.695,0.68,0.69,1003900,0.68092
2015-12-17,0.685,0.695,0.68,0.69,1473200,0.68092
2015-12-16,0.675,0.68,0.66,0.675,749900,0.66612
2015-12-15,0.68,0.69,0.65,0.66,2096200,0.65132
2015-12-14,0.68,0.69,0.68,0.68,767700,0.67105
2015-12-11,0.695,0.695,0.68,0.69,1302900,0.68092
2015-12-10,0.695,0.695,0.685,0.695,555800,0.68586
2015-12-09,0.70,0.705,0.69,0.69,1027600,0.68092
2015-12-08,0.70,0.70,0.68,0.70,1043900,0.69079
2015-12-07,0.70,0.705,0.69,0.695,968600,0.68586
2015-12-04,0.695,0.70,0.685,0.69,1534600,0.68092
2015-12-03,0.705,0.705,0.69,0.695,1131100,0.68586
2015-12-02,0.70,0.72,0.70,0.705,2515800,0.69572
2015-12-01,0.69,0.705,0.685,0.705,1728000,0.69572
2015-11-30,0.685,0.70,0.68,0.70,943500,0.69079
2015-11-27,0.69,0.69,0.675,0.675,1321000,0.66612
2015-11-26,0.71,0.72,0.695,0.695,1929000,0.68586
2015-11-25,0.675,0.705,0.665,0.70,2559800,0.69079
2015-11-24,0.665,0.68,0.66,0.67,1483800,0.66118
2015-11-23,0.68,0.685,0.665,0.665,460200,0.65625
2015-11-20,0.69,0.695,0.67,0.68,1008200,0.67105
2015-11-19,0.67,0.69,0.66,0.69,1706700,0.68092
2015-11-18,0.68,0.68,0.66,0.66,2129500,0.65132
2015-11-17,0.67,0.705,0.66,0.66,5228700,0.64539
2015-11-16,0.64,0.67,0.635,0.67,2981400,0.65517
2015-11-13,0.655,0.665,0.635,0.65,2927600,0.63562
2015-11-12,0.685,0.69,0.655,0.665,3202200,0.65028
2015-11-11,0.705,0.71,0.685,0.685,2308400,0.66984
2015-11-10,0.705,0.705,0.705,0.705,000,0.6894
2015-11-09,0.695,0.71,0.685,0.705,1242000,0.6894
2015-11-06,0.725,0.735,0.69,0.69,1830800,0.67473
2015-11-05,0.70,0.74,0.665,0.715,8061600,0.69918
2015-11-04,0.625,0.70,0.625,0.70,10245400,0.68451
2015-11-03,0.595,0.64,0.595,0.62,5387500,0.60628
2015-11-02,0.575,0.595,0.57,0.585,4224200,0.57205
2015-10-30,0.61,0.61,0.575,0.575,3350200,0.56228
2015-10-29,0.60,0.625,0.595,0.62,2960300,0.59455
2015-10-28,0.60,0.605,0.595,0.60,1428600,0.57537
2015-10-27,0.60,0.605,0.595,0.60,2124500,0.57537
2015-10-26,0.61,0.61,0.595,0.60,2451700,0.57537
2015-10-23,0.62,0.625,0.595,0.605,6132900,0.58016
2015-10-22,0.615,0.625,0.61,0.615,4299300,0.58975
2015-10-21,0.615,0.615,0.605,0.615,3817000,0.58975
2015-10-20,0.62,0.625,0.61,0.615,5603100,0.58975
2015-10-19,0.615,0.635,0.61,0.61,5666800,0.58496
2015-10-16,0.635,0.635,0.615,0.615,3156500,0.58975
2015-10-15,0.62,0.635,0.61,0.625,3831200,0.59934
