Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,0.077,0.077,0.074,0.074,3805200,0.074
2015-12-29,0.076,0.078,0.075,0.077,3133700,0.077
2015-12-28,0.077,0.079,0.075,0.077,3605900,0.077
2015-12-25,0.077,0.077,0.077,0.077,000,0.077
2015-12-24,0.076,0.079,0.075,0.077,4456100,0.077
2015-12-23,0.08,0.082,0.075,0.076,9922100,0.076
2015-12-22,0.079,0.083,0.078,0.079,22191900,0.079
2015-12-21,0.071,0.08,0.07,0.077,7180300,0.077
2015-12-18,0.078,0.08,0.067,0.07,7918100,0.07
2015-12-17,0.083,0.083,0.077,0.079,13174700,0.079
2015-12-16,0.087,0.088,0.081,0.084,16657400,0.084
2015-12-15,0.08,0.086,0.08,0.084,14689300,0.084
2015-12-14,0.078,0.082,0.075,0.081,7435700,0.081
2015-12-11,0.091,0.091,0.08,0.081,19443300,0.081
2015-12-10,0.087,0.094,0.077,0.088,67334300,0.088
2015-12-09,0.059,0.086,0.059,0.086,61993200,0.086
2015-12-08,0.056,0.06,0.053,0.06,16446100,0.06
2015-12-07,0.06,0.06,0.06,0.06,000,0.06
2015-12-04,0.06,0.06,0.06,0.06,000,0.06
2015-12-03,0.06,0.06,0.06,0.06,000,0.06
2015-12-02,0.065,0.065,0.059,0.06,5097000,0.06
2015-12-01,0.071,0.071,0.06,0.065,3488900,0.065
2015-11-30,0.077,0.077,0.07,0.072,2525700,0.072
2015-11-27,0.081,0.081,0.078,0.078,2738900,0.078
2015-11-26,0.083,0.083,0.079,0.08,2699800,0.08
2015-11-25,0.085,0.085,0.082,0.083,3529400,0.083
2015-11-24,0.084,0.086,0.083,0.085,2839900,0.085
2015-11-23,0.084,0.085,0.082,0.083,3742700,0.083
2015-11-20,0.085,0.086,0.084,0.085,1206400,0.085
2015-11-19,0.085,0.087,0.085,0.085,1439300,0.085
2015-11-18,0.086,0.086,0.084,0.084,2582600,0.084
2015-11-17,0.087,0.091,0.086,0.086,5584900,0.086
2015-11-16,0.082,0.087,0.082,0.086,2168500,0.086
2015-11-13,0.084,0.087,0.083,0.083,5315700,0.083
2015-11-12,0.09,0.09,0.086,0.087,5895800,0.087
2015-11-11,0.094,0.094,0.09,0.091,5028300,0.091
2015-11-10,0.094,0.094,0.094,0.094,000,0.094
2015-11-09,0.095,0.095,0.093,0.094,2079700,0.094
2015-11-06,0.095,0.097,0.095,0.096,2991100,0.096
2015-11-05,0.095,0.099,0.095,0.096,11050400,0.096
2015-11-04,0.094,0.098,0.094,0.095,16884600,0.095
2015-11-03,0.095,0.096,0.092,0.094,4649900,0.094
2015-11-02,0.093,0.097,0.09,0.095,11485700,0.095
2015-10-30,0.094,0.096,0.093,0.095,4183200,0.095
2015-10-29,0.099,0.10,0.091,0.093,10555900,0.093
2015-10-28,0.10,0.103,0.096,0.097,6965700,0.097
2015-10-27,0.102,0.108,0.10,0.102,24420000,0.102
2015-10-26,0.103,0.106,0.102,0.103,6121900,0.103
2015-10-23,0.106,0.107,0.102,0.103,9539300,0.103
2015-10-22,0.101,0.107,0.101,0.104,5331100,0.104
2015-10-21,0.109,0.113,0.103,0.103,37000000,0.103
2015-10-20,0.091,0.109,0.091,0.107,109686900,0.107
2015-10-19,0.089,0.093,0.089,0.09,9575400,0.09
2015-10-16,0.092,0.092,0.089,0.09,3694200,0.09
2015-10-15,0.089,0.092,0.088,0.091,10639100,0.091
2015-10-14,0.088,0.091,0.086,0.088,6844500,0.088
2015-10-13,0.09,0.094,0.086,0.087,37682400,0.087
2015-10-12,0.103,0.103,0.103,0.103,000,0.103
2015-10-09,0.103,0.103,0.103,0.103,000,0.103
2015-10-08,0.103,0.103,0.103,0.103,000,0.103
2015-10-07,0.099,0.105,0.098,0.103,22281400,0.103
2015-10-06,0.102,0.107,0.101,0.105,25597700,0.105
2015-10-05,0.096,0.101,0.095,0.10,8080200,0.10
2015-10-02,0.097,0.098,0.093,0.095,2606800,0.095
2015-10-01,0.097,0.099,0.097,0.097,2430600,0.097
2015-09-30,0.10,0.10,0.097,0.097,3563500,0.097
2015-09-29,0.099,0.10,0.097,0.10,2374500,0.10
2015-09-28,0.101,0.101,0.098,0.10,3809800,0.10
2015-09-25,0.102,0.103,0.099,0.102,3732200,0.102
2015-09-24,0.104,0.104,0.104,0.104,000,0.104
2015-09-23,0.101,0.104,0.099,0.104,1354700,0.104
2015-09-22,0.104,0.107,0.10,0.10,6791100,0.10
2015-09-21,0.101,0.104,0.101,0.102,2694300,0.102
2015-09-18,0.102,0.106,0.102,0.103,3887700,0.103
2015-09-17,0.105,0.105,0.101,0.103,6486700,0.103
2015-09-16,0.102,0.106,0.101,0.103,4945100,0.103
2015-09-15,0.101,0.101,0.096,0.10,6013800,0.10
2015-09-14,0.105,0.107,0.10,0.10,5624600,0.10
2015-09-11,0.105,0.105,0.105,0.105,000,0.105
2015-09-10,0.112,0.112,0.104,0.104,5988400,0.104
2015-09-09,0.109,0.115,0.107,0.112,15776800,0.112
2015-09-08,0.10,0.106,0.10,0.106,13950600,0.106
2015-09-07,0.099,0.102,0.098,0.098,3050200,0.098
2015-09-04,0.105,0.105,0.098,0.10,3243200,0.10
2015-09-03,0.103,0.106,0.101,0.105,3532300,0.105
2015-09-02,0.098,0.103,0.098,0.101,4241800,0.101
2015-09-01,0.106,0.107,0.099,0.10,1205600,0.10
2015-08-31,0.101,0.109,0.099,0.106,2403800,0.106
2015-08-28,0.106,0.116,0.102,0.104,22838600,0.104
2015-08-27,0.089,0.102,0.089,0.102,13432200,0.102
2015-08-26,0.086,0.093,0.085,0.086,4051900,0.086
2015-08-25,0.084,0.091,0.084,0.09,7442000,0.09
2015-08-24,0.086,0.087,0.08,0.084,2677400,0.084
2015-08-21,0.093,0.095,0.083,0.092,4485600,0.092
2015-08-20,0.106,0.107,0.09,0.094,4202900,0.094
2015-08-19,0.11,0.112,0.106,0.107,3860700,0.107
2015-08-18,0.12,0.122,0.107,0.107,7290800,0.107
2015-08-17,0.128,0.128,0.119,0.119,2845600,0.119
2015-08-14,0.132,0.134,0.128,0.128,4463100,0.128
2015-08-13,0.13,0.138,0.13,0.131,6316400,0.131
2015-08-12,0.133,0.134,0.129,0.13,6353100,0.13
2015-08-11,0.139,0.142,0.135,0.135,3289700,0.135
2015-08-10,0.139,0.139,0.139,0.139,000,0.139
2015-08-07,0.139,0.139,0.139,0.139,000,0.139
2015-08-06,0.141,0.145,0.138,0.139,4086300,0.139
2015-08-05,0.142,0.15,0.14,0.143,7622100,0.143
2015-08-04,0.139,0.143,0.139,0.142,3970200,0.142
2015-08-03,0.143,0.143,0.136,0.136,3563300,0.136
2015-07-31,0.15,0.15,0.133,0.148,4722100,0.148
2015-07-30,0.155,0.158,0.151,0.152,4892900,0.152
2015-07-29,0.153,0.157,0.151,0.156,8050000,0.156
2015-07-28,0.152,0.157,0.15,0.152,7188900,0.152
2015-07-27,0.161,0.161,0.154,0.154,5755500,0.154
2015-07-24,0.163,0.164,0.161,0.163,1711200,0.163
2015-07-23,0.164,0.167,0.163,0.164,3386900,0.164
2015-07-22,0.167,0.168,0.164,0.164,2649300,0.164
2015-07-21,0.161,0.171,0.159,0.166,30580200,0.166
2015-07-20,0.161,0.164,0.16,0.161,13304500,0.161
2015-07-17,0.159,0.159,0.159,0.159,000,0.159
2015-07-16,0.157,0.162,0.157,0.159,4206000,0.159
2015-07-15,0.16,0.16,0.157,0.157,2894000,0.157
2015-07-14,0.164,0.164,0.159,0.161,4272900,0.161
2015-07-13,0.161,0.164,0.16,0.162,4164000,0.162
2015-07-10,0.157,0.164,0.155,0.161,16606900,0.161
2015-07-09,0.145,0.158,0.145,0.156,7271400,0.156
2015-07-08,0.156,0.157,0.147,0.147,6313600,0.147
2015-07-07,0.159,0.162,0.158,0.158,3722700,0.158
2015-07-06,0.163,0.164,0.156,0.159,6317400,0.159
2015-07-03,0.165,0.166,0.162,0.163,5104200,0.163
2015-07-02,0.167,0.168,0.164,0.165,5221200,0.165
2015-07-01,0.17,0.171,0.166,0.166,4599900,0.166
2015-06-30,0.164,0.172,0.163,0.169,10677400,0.169
2015-06-29,0.167,0.169,0.162,0.165,4848000,0.165
2015-06-26,0.173,0.173,0.169,0.169,4832700,0.169
2015-06-25,0.175,0.177,0.173,0.173,13505200,0.173
2015-06-24,0.17,0.177,0.168,0.175,24746400,0.175
2015-06-23,0.169,0.17,0.165,0.169,6479400,0.169
2015-06-22,0.171,0.171,0.166,0.168,5853000,0.168
2015-06-19,0.171,0.173,0.169,0.17,7819200,0.17
2015-06-18,0.174,0.176,0.168,0.169,6608700,0.169
2015-06-17,0.172,0.177,0.172,0.174,7687300,0.174
2015-06-16,0.169,0.173,0.168,0.17,4766800,0.17
2015-06-15,0.176,0.178,0.17,0.17,5971900,0.17
2015-06-12,0.181,0.183,0.176,0.176,12002500,0.176
2015-06-11,0.173,0.18,0.173,0.177,19116700,0.177
2015-06-10,0.17,0.174,0.168,0.171,5881000,0.171
2015-06-09,0.166,0.177,0.164,0.169,20604000,0.169
2015-06-08,0.17,0.172,0.164,0.164,5729700,0.164
2015-06-05,0.167,0.173,0.164,0.17,10885000,0.17
2015-06-04,0.174,0.181,0.169,0.169,7402800,0.169
2015-06-03,0.18,0.183,0.175,0.176,7818700,0.176
2015-06-02,0.186,0.188,0.18,0.18,8830600,0.18
2015-06-01,0.186,0.186,0.186,0.186,000,0.186
2015-05-29,0.193,0.193,0.184,0.186,13328000,0.186
2015-05-28,0.20,0.205,0.193,0.193,21372800,0.193
2015-05-27,0.195,0.205,0.188,0.20,31025700,0.20
2015-05-26,0.186,0.197,0.185,0.193,50102100,0.193
2015-05-25,0.18,0.185,0.18,0.181,11342400,0.181
2015-05-22,0.177,0.185,0.176,0.18,42536200,0.18
2015-05-21,0.177,0.179,0.175,0.176,3328700,0.176
2015-05-20,0.177,0.18,0.172,0.177,7378200,0.177
2015-05-19,0.177,0.182,0.175,0.176,17207200,0.176
2015-05-18,0.16,0.177,0.16,0.175,25856700,0.175
2015-05-15,0.162,0.163,0.153,0.161,4732800,0.161
2015-05-14,0.162,0.165,0.161,0.161,8290400,0.161
2015-05-13,0.163,0.166,0.162,0.162,4046300,0.162
2015-05-12,0.163,0.167,0.162,0.162,7336000,0.162
2015-05-11,0.163,0.166,0.161,0.162,6969000,0.162
