Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,0.087,0.087,0.087,0.087,000,0.087
2015-12-29,0.087,0.087,0.087,0.087,000,0.087
2015-12-28,0.087,0.087,0.087,0.087,000,0.087
2015-12-25,0.087,0.087,0.087,0.087,000,0.087
2015-12-24,0.087,0.087,0.087,0.087,302000,0.087
2015-12-23,0.09,0.09,0.08,0.088,572200,0.088
2015-12-22,0.091,0.091,0.091,0.091,000,0.091
2015-12-21,0.091,0.091,0.091,0.091,000,0.091
2015-12-18,0.091,0.091,0.091,0.091,000,0.091
2015-12-17,0.091,0.091,0.091,0.091,302000,0.091
2015-12-16,0.096,0.096,0.096,0.096,000,0.096
2015-12-15,0.096,0.096,0.096,0.096,400000,0.096
2015-12-14,0.092,0.092,0.092,0.092,000,0.092
2015-12-11,0.092,0.092,0.092,0.092,6000,0.092
2015-12-10,0.095,0.095,0.095,0.095,000,0.095
2015-12-09,0.097,0.097,0.095,0.095,308000,0.095
2015-12-08,0.097,0.097,0.097,0.097,000,0.097
2015-12-07,0.097,0.097,0.097,0.097,400000,0.097
2015-12-04,0.098,0.098,0.098,0.098,000,0.098
2015-12-03,0.098,0.098,0.098,0.098,000,0.098
2015-12-02,0.098,0.098,0.098,0.098,302000,0.098
2015-12-01,0.097,0.097,0.097,0.097,000,0.097
2015-11-30,0.097,0.097,0.097,0.097,400000,0.097
2015-11-27,0.097,0.097,0.097,0.097,000,0.097
2015-11-26,0.097,0.097,0.097,0.097,000,0.097
2015-11-25,0.091,0.097,0.09,0.097,30100,0.097
2015-11-24,0.098,0.098,0.098,0.098,302000,0.098
2015-11-23,0.095,0.095,0.095,0.095,000,0.095
2015-11-20,0.098,0.098,0.095,0.095,535000,0.095
2015-11-19,0.099,0.099,0.099,0.099,39000,0.099
2015-11-18,0.099,0.099,0.099,0.099,45000,0.099
2015-11-17,0.094,0.098,0.094,0.095,322100,0.095
2015-11-16,0.101,0.101,0.101,0.101,100000,0.101
2015-11-13,0.102,0.102,0.102,0.102,400000,0.102
2015-11-12,0.096,0.096,0.096,0.096,000,0.096
2015-11-11,0.096,0.096,0.096,0.096,000,0.096
