Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,0.091,0.092,0.09,0.091,2878800,0.091
2015-12-29,0.091,0.091,0.09,0.09,177600,0.09
2015-12-28,0.093,0.093,0.09,0.091,1048200,0.091
2015-12-25,0.092,0.092,0.092,0.092,000,0.092
2015-12-24,0.091,0.094,0.091,0.092,4541100,0.092
2015-12-23,0.09,0.091,0.09,0.091,1607000,0.091
2015-12-22,0.09,0.091,0.09,0.09,1454100,0.09
2015-12-21,0.089,0.09,0.089,0.089,604700,0.089
2015-12-18,0.09,0.09,0.089,0.089,633200,0.089
2015-12-17,0.09,0.09,0.09,0.09,292500,0.09
2015-12-16,0.09,0.09,0.09,0.09,3743100,0.09
2015-12-15,0.09,0.091,0.089,0.089,1731800,0.089
2015-12-14,0.089,0.09,0.088,0.09,5372700,0.09
2015-12-11,0.09,0.09,0.089,0.089,1045500,0.089
2015-12-10,0.09,0.09,0.09,0.09,8346600,0.09
2015-12-09,0.09,0.09,0.09,0.09,2936600,0.09
2015-12-08,0.091,0.091,0.089,0.09,4367100,0.09
2015-12-07,0.091,0.092,0.091,0.091,1515800,0.091
2015-12-04,0.091,0.091,0.091,0.091,1742500,0.091
2015-12-03,0.092,0.092,0.091,0.091,360000,0.091
2015-12-02,0.091,0.094,0.091,0.092,7771200,0.092
2015-12-01,0.091,0.092,0.09,0.092,4433400,0.092
2015-11-30,0.091,0.092,0.091,0.091,10178700,0.091
2015-11-27,0.091,0.092,0.091,0.091,1912000,0.091
2015-11-26,0.092,0.092,0.091,0.092,2072400,0.092
2015-11-25,0.092,0.092,0.091,0.091,1746000,0.091
2015-11-24,0.092,0.093,0.091,0.093,2708400,0.093
2015-11-23,0.093,0.093,0.092,0.092,2897900,0.092
2015-11-20,0.092,0.092,0.092,0.092,5431600,0.092
2015-11-19,0.091,0.092,0.091,0.092,5805700,0.092
2015-11-18,0.092,0.092,0.091,0.091,6609100,0.091
2015-11-17,0.092,0.093,0.091,0.091,3896500,0.091
2015-11-16,0.091,0.092,0.091,0.092,1142300,0.092
2015-11-13,0.091,0.092,0.09,0.092,6848900,0.092
2015-11-12,0.096,0.096,0.091,0.092,24750500,0.092
2015-11-11,0.092,0.097,0.091,0.094,53310400,0.094
2015-11-10,0.092,0.092,0.092,0.092,000,0.092
2015-11-09,0.091,0.094,0.09,0.092,7694300,0.092
2015-11-06,0.091,0.092,0.09,0.091,3844800,0.091
2015-11-05,0.092,0.092,0.09,0.091,2008700,0.091
2015-11-04,0.092,0.095,0.092,0.092,17800800,0.092
2015-11-03,0.09,0.093,0.09,0.091,7397100,0.091
2015-11-02,0.091,0.091,0.09,0.09,4464200,0.09
2015-10-30,0.091,0.092,0.09,0.091,4325400,0.091
2015-10-29,0.093,0.093,0.09,0.09,7929800,0.09
2015-10-28,0.093,0.094,0.092,0.092,5813300,0.092
2015-10-27,0.095,0.095,0.093,0.093,5500100,0.093
2015-10-26,0.097,0.097,0.094,0.094,8802700,0.094
2015-10-23,0.098,0.098,0.096,0.097,8205600,0.097
2015-10-22,0.097,0.098,0.096,0.097,9186700,0.097
2015-10-21,0.095,0.099,0.095,0.096,33030600,0.096
2015-10-20,0.096,0.097,0.094,0.095,26840800,0.095
2015-10-19,0.093,0.097,0.093,0.096,22301200,0.096
2015-10-16,0.094,0.094,0.093,0.093,12675200,0.093
2015-10-15,0.092,0.095,0.092,0.093,23448200,0.093
2015-10-14,0.092,0.093,0.091,0.092,13549200,0.092
2015-10-13,0.096,0.096,0.091,0.092,18021900,0.092
2015-10-12,0.095,0.098,0.094,0.096,26683500,0.096
2015-10-09,0.094,0.097,0.093,0.094,28285600,0.094
2015-10-08,0.10,0.101,0.092,0.092,45585100,0.092
2015-10-07,0.087,0.102,0.087,0.099,129139800,0.099
2015-10-06,0.088,0.089,0.085,0.086,26394000,0.086
2015-10-05,0.087,0.088,0.083,0.085,46625600,0.085
2015-10-02,0.083,0.086,0.082,0.086,24669500,0.086
2015-10-01,0.086,0.086,0.077,0.085,111208000,0.085
2015-09-30,0.088,0.089,0.083,0.083,28473600,0.083
2015-09-29,0.085,0.088,0.082,0.088,54690500,0.088
2015-09-28,0.094,0.096,0.09,0.09,38754800,0.09
2015-09-25,0.088,0.094,0.088,0.094,186994800,0.094
2015-09-23,0.094,0.098,0.085,0.088,240490800,0.088
2015-09-22,0.10,0.12,0.093,0.096,214715100,0.096
2015-09-21,0.12,0.129,0.077,0.099,274514800,0.099
2015-09-18,0.315,0.315,0.315,0.315,000,0.315
2015-09-17,0.315,0.315,0.315,0.315,000,0.315
2015-09-16,0.315,0.315,0.315,0.315,000,0.315
2015-09-15,0.315,0.315,0.315,0.315,000,0.315
2015-09-14,0.315,0.315,0.315,0.315,000,0.315
2015-09-11,0.315,0.315,0.315,0.315,000,0.315
2015-09-10,0.315,0.315,0.315,0.315,000,0.315
2015-09-09,0.315,0.32,0.315,0.315,52318600,0.315
2015-09-08,0.315,0.32,0.315,0.315,49157300,0.315
2015-09-07,0.32,0.32,0.315,0.315,44301600,0.315
2015-09-04,0.315,0.32,0.31,0.32,63953200,0.32
2015-09-03,0.31,0.315,0.31,0.31,60073700,0.31
2015-09-02,0.31,0.315,0.31,0.31,52293600,0.31
2015-09-01,0.31,0.315,0.31,0.315,51108500,0.315
2015-08-31,0.31,0.315,0.31,0.31,40046000,0.31
2015-08-28,0.31,0.315,0.305,0.31,59590800,0.31
2015-08-27,0.31,0.315,0.31,0.31,53171600,0.31
2015-08-26,0.31,0.315,0.31,0.31,49320500,0.31
2015-08-25,0.31,0.315,0.305,0.31,47485500,0.31
2015-08-24,0.31,0.31,0.305,0.31,48212300,0.31
2015-08-21,0.31,0.31,0.305,0.31,61483900,0.31
2015-08-20,0.31,0.31,0.305,0.31,51025100,0.31
2015-08-19,0.31,0.315,0.305,0.31,46619000,0.31
2015-08-18,0.31,0.315,0.305,0.31,36668900,0.31
2015-08-17,0.31,0.31,0.31,0.31,38652000,0.31
2015-08-14,0.31,0.315,0.31,0.31,58986700,0.31
2015-08-13,0.31,0.315,0.305,0.31,49029500,0.31
2015-08-12,0.31,0.315,0.31,0.31,45167000,0.31
2015-08-11,0.31,0.31,0.305,0.305,35111700,0.305
2015-08-10,0.31,0.31,0.31,0.31,000,0.31
2015-08-07,0.31,0.31,0.31,0.31,000,0.31
2015-08-06,0.31,0.315,0.31,0.31,34628100,0.31
2015-08-05,0.31,0.315,0.31,0.31,55284500,0.31
2015-08-04,0.31,0.315,0.305,0.31,48659500,0.31
2015-08-03,0.31,0.315,0.305,0.31,43645200,0.31
2015-07-31,0.31,0.315,0.305,0.315,34828800,0.315
2015-07-30,0.315,0.315,0.31,0.31,43066200,0.31
2015-07-29,0.31,0.315,0.305,0.315,59508200,0.315
2015-07-28,0.31,0.315,0.305,0.315,50962700,0.315
2015-07-27,0.31,0.315,0.305,0.31,56018500,0.31
2015-07-24,0.30,0.31,0.295,0.31,43999100,0.31
2015-07-23,0.30,0.305,0.295,0.30,43614100,0.30
2015-07-22,0.30,0.305,0.30,0.30,50200900,0.30
2015-07-21,0.30,0.305,0.295,0.30,44323600,0.30
2015-07-20,0.30,0.305,0.295,0.30,55028700,0.30
2015-07-17,0.30,0.30,0.30,0.30,000,0.30
2015-07-16,0.30,0.305,0.295,0.30,40510400,0.30
2015-07-15,0.30,0.305,0.295,0.30,43585700,0.30
2015-07-14,0.30,0.30,0.295,0.30,46546900,0.30
2015-07-13,0.30,0.30,0.295,0.30,57181900,0.30
2015-07-10,0.30,0.305,0.295,0.30,61980900,0.30
2015-07-09,0.30,0.305,0.30,0.30,40337900,0.30
2015-07-08,0.30,0.305,0.30,0.30,37071100,0.30
2015-07-07,0.30,0.305,0.30,0.30,53879500,0.30
2015-07-06,0.30,0.305,0.295,0.295,56557700,0.295
2015-07-03,0.30,0.305,0.30,0.30,51620800,0.30
2015-07-02,0.30,0.305,0.30,0.30,41372600,0.30
2015-07-01,0.30,0.305,0.30,0.30,34937700,0.30
2015-06-30,0.30,0.305,0.295,0.295,43300200,0.295
2015-06-29,0.30,0.30,0.295,0.30,58437400,0.30
2015-06-26,0.30,0.30,0.30,0.30,59486200,0.30
2015-06-25,0.30,0.30,0.295,0.30,37335600,0.30
2015-06-24,0.30,0.305,0.295,0.30,43485200,0.30
2015-06-23,0.30,0.305,0.295,0.30,41603700,0.30
2015-06-22,0.295,0.305,0.295,0.30,46607100,0.30
2015-06-19,0.29,0.295,0.29,0.295,37970000,0.295
2015-06-18,0.29,0.295,0.29,0.29,39289600,0.29
2015-06-17,0.29,0.295,0.29,0.29,36816400,0.29
2015-06-16,0.29,0.295,0.29,0.295,60900100,0.295
2015-06-15,0.29,0.29,0.29,0.29,44291000,0.29
2015-06-12,0.29,0.29,0.29,0.29,32178300,0.29
2015-06-11,0.29,0.29,0.29,0.29,39108500,0.29
2015-06-10,0.29,0.29,0.29,0.29,38264900,0.29
2015-06-09,0.29,0.29,0.29,0.29,40438500,0.29
2015-06-08,0.29,0.295,0.29,0.29,45629900,0.29
2015-06-05,0.29,0.29,0.285,0.29,37313200,0.29
2015-06-04,0.295,0.295,0.29,0.29,43503000,0.29
2015-06-03,0.29,0.29,0.29,0.29,32801000,0.29
2015-06-02,0.29,0.295,0.29,0.29,45666500,0.29
2015-06-01,0.29,0.29,0.29,0.29,000,0.29
2015-05-29,0.29,0.29,0.285,0.29,44377900,0.29
2015-05-28,0.29,0.295,0.29,0.29,33548400,0.29
2015-05-27,0.29,0.295,0.29,0.29,43262900,0.29
2015-05-26,0.29,0.295,0.29,0.29,36773900,0.29
2015-05-25,0.29,0.29,0.29,0.29,44609000,0.29
2015-05-22,0.29,0.295,0.29,0.29,44633700,0.29
2015-05-21,0.29,0.295,0.29,0.29,33803700,0.29
2015-05-20,0.29,0.295,0.29,0.29,39130100,0.29
2015-05-19,0.29,0.295,0.29,0.295,41541500,0.295
2015-05-18,0.29,0.295,0.29,0.29,52467400,0.29
2015-05-15,0.29,0.295,0.29,0.295,50087000,0.295
2015-05-14,0.29,0.29,0.29,0.29,38975400,0.29
2015-05-13,0.285,0.295,0.285,0.29,43098100,0.29
2015-05-12,0.285,0.295,0.285,0.29,41282200,0.29
2015-05-11,0.29,0.295,0.285,0.29,47441700,0.29
2015-05-08,0.285,0.295,0.285,0.295,53903700,0.295
2015-05-07,0.29,0.295,0.25,0.29,41645200,0.29
2015-05-06,0.295,0.295,0.29,0.29,42224000,0.29
2015-05-05,0.29,0.295,0.29,0.295,46232000,0.295
2015-05-04,0.29,0.295,0.29,0.29,59761900,0.29
2015-05-01,0.29,0.29,0.29,0.29,000,0.29
2015-04-30,0.295,0.295,0.29,0.29,43562000,0.29
2015-04-29,0.29,0.295,0.29,0.295,43655500,0.295
2015-04-28,0.29,0.295,0.29,0.295,40496300,0.295
2015-04-27,0.29,0.295,0.29,0.295,42375900,0.295
2015-04-24,0.29,0.295,0.29,0.295,57291300,0.295
2015-04-23,0.29,0.295,0.29,0.295,42475200,0.295
2015-04-22,0.29,0.295,0.29,0.295,46581800,0.295
2015-04-21,0.29,0.295,0.29,0.295,43385100,0.295
2015-04-20,0.285,0.295,0.285,0.295,44739300,0.295
2015-04-17,0.285,0.29,0.285,0.29,57786600,0.29
2015-04-16,0.285,0.29,0.28,0.29,54855500,0.29
2015-04-15,0.285,0.285,0.28,0.285,58578000,0.285
2015-04-14,0.29,0.29,0.285,0.285,39656700,0.285
2015-04-13,0.285,0.285,0.285,0.285,42754700,0.285
2015-04-10,0.285,0.285,0.28,0.285,63236100,0.285
2015-04-09,0.285,0.285,0.285,0.285,45484100,0.285
2015-04-08,0.285,0.29,0.285,0.285,48290300,0.285
