Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,0.066,0.067,0.066,0.067,147000,0.067
2015-12-29,0.069,0.069,0.069,0.069,000,0.069
2015-12-28,0.066,0.069,0.066,0.069,212800,0.069
2015-12-25,0.065,0.065,0.065,0.065,000,0.065
2015-12-24,0.066,0.066,0.065,0.065,65000,0.065
2015-12-23,0.065,0.066,0.065,0.066,120000,0.066
2015-12-22,0.063,0.071,0.063,0.071,105000,0.071
2015-12-21,0.071,0.071,0.071,0.071,000,0.071
2015-12-18,0.071,0.071,0.071,0.071,1000,0.071
2015-12-17,0.065,0.065,0.065,0.065,000,0.065
2015-12-16,0.061,0.065,0.061,0.065,450000,0.065
2015-12-15,0.059,0.062,0.059,0.062,5300,0.062
2015-12-14,0.062,0.063,0.062,0.063,100000,0.063
2015-12-11,0.063,0.063,0.063,0.063,000,0.063
2015-12-10,0.063,0.063,0.063,0.063,000,0.063
2015-12-09,0.063,0.063,0.063,0.063,000,0.063
2015-12-08,0.063,0.063,0.063,0.063,000,0.063
2015-12-07,0.063,0.063,0.063,0.063,000,0.063
2015-12-04,0.06,0.063,0.058,0.063,40500,0.063
2015-12-03,0.058,0.058,0.058,0.058,000,0.058
2015-12-02,0.058,0.058,0.058,0.058,000,0.058
2015-12-01,0.05,0.062,0.05,0.058,50000,0.058
2015-11-30,0.062,0.062,0.062,0.062,000,0.062
2015-11-27,0.062,0.062,0.062,0.062,000,0.062
2015-11-26,0.055,0.062,0.055,0.062,50400,0.062
2015-11-25,0.064,0.064,0.064,0.064,000,0.064
2015-11-24,0.064,0.064,0.064,0.064,000,0.064
2015-11-23,0.064,0.064,0.064,0.064,000,0.064
2015-11-20,0.058,0.065,0.058,0.064,70300,0.064
2015-11-19,0.063,0.063,0.063,0.063,000,0.063
2015-11-18,0.063,0.063,0.063,0.063,30000,0.063
2015-11-17,0.065,0.065,0.065,0.065,000,0.065
2015-11-16,0.058,0.065,0.056,0.065,272100,0.065
2015-11-13,0.063,0.063,0.063,0.063,000,0.063
2015-11-12,0.063,0.063,0.063,0.063,000,0.063
2015-11-11,0.063,0.063,0.063,0.063,000,0.063
2015-11-10,0.063,0.063,0.063,0.063,000,0.063
2015-11-09,0.063,0.063,0.063,0.063,30000,0.063
2015-11-06,0.066,0.066,0.066,0.066,000,0.066
2015-11-05,0.067,0.067,0.066,0.066,250000,0.066
2015-11-04,0.064,0.069,0.064,0.067,377400,0.067
2015-11-03,0.064,0.064,0.063,0.064,140100,0.064
2015-11-02,0.068,0.068,0.063,0.064,384200,0.064
2015-10-30,0.07,0.072,0.07,0.071,101500,0.071
2015-10-29,0.068,0.071,0.068,0.068,723100,0.068
2015-10-28,0.072,0.072,0.072,0.072,200000,0.072
2015-10-27,0.07,0.075,0.068,0.075,284100,0.075
2015-10-26,0.076,0.078,0.073,0.075,775100,0.075
2015-10-23,0.075,0.075,0.07,0.074,732500,0.074
2015-10-22,0.071,0.075,0.07,0.075,201000,0.075
