Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,0.076,0.076,0.076,0.076,000,0.076
2015-12-29,0.076,0.076,0.076,0.076,000,0.076
2015-12-28,0.076,0.076,0.076,0.076,000,0.076
2015-12-25,0.076,0.076,0.076,0.076,000,0.076
2015-12-24,0.076,0.076,0.076,0.076,000,0.076
2015-12-23,0.076,0.076,0.076,0.076,000,0.076
2015-12-22,0.076,0.076,0.076,0.076,000,0.076
2015-12-21,0.076,0.076,0.076,0.076,000,0.076
2015-12-18,0.076,0.076,0.076,0.076,000,0.076
2015-12-17,0.076,0.076,0.076,0.076,000,0.076
2015-12-16,0.076,0.076,0.076,0.076,000,0.076
2015-12-15,0.076,0.076,0.076,0.076,000,0.076
2015-12-14,0.076,0.076,0.076,0.076,000,0.076
2015-12-11,0.076,0.076,0.076,0.076,000,0.076
2015-12-10,0.076,0.076,0.076,0.076,000,0.076
2015-12-09,0.076,0.076,0.076,0.076,000,0.076
2015-12-08,0.076,0.076,0.076,0.076,000,0.076
2015-12-07,0.076,0.076,0.076,0.076,000,0.076
2015-12-04,0.076,0.076,0.076,0.076,000,0.076
2015-12-03,0.076,0.076,0.076,0.076,000,0.076
2015-12-02,0.076,0.076,0.076,0.076,000,0.076
2015-12-01,0.076,0.076,0.076,0.076,000,0.076
2015-11-30,0.076,0.076,0.076,0.076,000,0.076
2015-11-27,0.076,0.076,0.076,0.076,000,0.076
2015-11-26,0.076,0.076,0.076,0.076,000,0.076
2015-11-25,0.078,0.079,0.075,0.076,5393700,0.076
2015-11-24,0.079,0.08,0.076,0.077,8226200,0.077
2015-11-23,0.082,0.082,0.078,0.078,9721300,0.078
2015-11-20,0.082,0.082,0.08,0.082,4360500,0.082
2015-11-19,0.083,0.086,0.082,0.083,8905200,0.083
2015-11-18,0.084,0.084,0.08,0.08,4163300,0.08
2015-11-17,0.088,0.09,0.082,0.082,8696400,0.082
2015-11-16,0.082,0.089,0.081,0.087,9897800,0.087
2015-11-13,0.084,0.085,0.081,0.082,7110400,0.082
2015-11-12,0.09,0.09,0.085,0.085,14281500,0.085
2015-11-11,0.094,0.094,0.089,0.089,10314900,0.089
2015-11-10,0.093,0.093,0.093,0.093,000,0.093
2015-11-09,0.094,0.097,0.091,0.093,14450300,0.093
2015-11-06,0.094,0.094,0.092,0.093,3117600,0.093
2015-11-05,0.094,0.097,0.092,0.093,11641800,0.093
2015-11-04,0.097,0.101,0.093,0.093,41897900,0.093
2015-11-03,0.09,0.099,0.089,0.097,29999800,0.097
2015-11-02,0.093,0.093,0.087,0.088,11118800,0.088
2015-10-30,0.093,0.095,0.091,0.092,6011800,0.092
2015-10-29,0.098,0.098,0.091,0.091,16519500,0.091
2015-10-28,0.098,0.099,0.095,0.096,16041200,0.096
2015-10-27,0.099,0.103,0.097,0.10,25240100,0.10
2015-10-26,0.098,0.103,0.098,0.099,19011100,0.099
2015-10-23,0.10,0.10,0.095,0.097,10840600,0.097
2015-10-22,0.10,0.104,0.097,0.098,25202200,0.098
2015-10-21,0.096,0.107,0.094,0.10,107318700,0.10
2015-10-20,0.081,0.099,0.081,0.095,85851500,0.095
2015-10-19,0.083,0.084,0.081,0.081,10112800,0.081
2015-10-16,0.084,0.087,0.082,0.082,17725000,0.082
2015-10-15,0.079,0.084,0.079,0.083,13565000,0.083
2015-10-14,0.082,0.082,0.079,0.08,9414500,0.08
2015-10-13,0.083,0.083,0.08,0.081,5481700,0.081
2015-10-12,0.082,0.085,0.081,0.084,4434500,0.084
2015-10-09,0.085,0.086,0.077,0.082,26332300,0.082
2015-10-08,0.09,0.095,0.089,0.089,18655300,0.089
2015-10-07,0.087,0.091,0.086,0.09,7411800,0.09
2015-10-06,0.09,0.096,0.085,0.088,57716500,0.088
2015-10-05,0.07,0.089,0.07,0.089,22468400,0.089
2015-10-02,0.071,0.072,0.068,0.069,4227900,0.069
2015-10-01,0.069,0.073,0.068,0.07,5519700,0.07
2015-09-30,0.07,0.071,0.067,0.069,2912300,0.069
2015-09-29,0.07,0.071,0.068,0.07,6262300,0.07
2015-09-28,0.073,0.074,0.071,0.072,5154900,0.072
2015-09-25,0.072,0.075,0.072,0.072,3970800,0.072
2015-09-24,0.072,0.072,0.072,0.072,000,0.072
2015-09-23,0.073,0.074,0.07,0.072,3820800,0.072
2015-09-22,0.073,0.078,0.071,0.072,15134200,0.072
2015-09-21,0.074,0.074,0.071,0.072,4979000,0.072
2015-09-18,0.074,0.078,0.073,0.074,7396500,0.074
2015-09-17,0.076,0.078,0.072,0.073,5856700,0.073
2015-09-16,0.074,0.08,0.071,0.076,9096300,0.076
2015-09-15,0.075,0.076,0.07,0.072,7574900,0.072
2015-09-14,0.084,0.084,0.075,0.076,11587200,0.076
2015-09-11,0.083,0.083,0.083,0.083,000,0.083
2015-09-10,0.084,0.085,0.082,0.082,11895200,0.082
2015-09-09,0.089,0.09,0.085,0.085,8088500,0.085
2015-09-08,0.087,0.088,0.082,0.087,16316000,0.087
2015-09-07,0.088,0.089,0.082,0.085,11618200,0.085
2015-09-04,0.093,0.093,0.086,0.089,29855000,0.089
2015-09-03,0.088,0.093,0.087,0.091,35270100,0.091
2015-09-02,0.084,0.089,0.081,0.086,39485800,0.086
2015-09-01,0.079,0.096,0.078,0.081,137636700,0.081
2015-08-31,0.061,0.09,0.06,0.079,74097900,0.079
2015-08-28,0.057,0.064,0.056,0.059,37229900,0.059
2015-08-27,0.053,0.057,0.053,0.055,22380100,0.055
2015-08-26,0.049,0.056,0.044,0.051,59893700,0.051
2015-08-25,0.055,0.057,0.048,0.05,37024300,0.05
2015-08-24,0.065,0.07,0.058,0.058,24609000,0.058
2015-08-21,0.10,0.10,0.062,0.072,80404900,0.072
2015-08-20,0.142,0.142,0.142,0.142,000,0.142
2015-08-19,0.142,0.142,0.142,0.142,000,0.142
2015-08-18,0.151,0.153,0.142,0.142,3070700,0.142
2015-08-17,0.158,0.158,0.151,0.151,1169500,0.151
2015-08-14,0.156,0.161,0.156,0.158,949000,0.158
2015-08-13,0.158,0.166,0.155,0.157,3541500,0.157
2015-08-12,0.17,0.17,0.16,0.161,8470000,0.161
2015-08-11,0.178,0.178,0.171,0.172,5834400,0.172
2015-08-10,0.177,0.177,0.177,0.177,000,0.177
2015-08-07,0.177,0.177,0.177,0.177,000,0.177
2015-08-06,0.181,0.181,0.176,0.177,2039900,0.177
2015-08-05,0.177,0.181,0.176,0.179,2629800,0.179
2015-08-04,0.175,0.18,0.174,0.178,3202900,0.178
2015-08-03,0.182,0.183,0.175,0.176,6825100,0.176
2015-07-31,0.186,0.186,0.181,0.182,3319900,0.182
2015-07-30,0.191,0.191,0.186,0.188,2132700,0.188
2015-07-29,0.196,0.196,0.188,0.19,4138500,0.19
2015-07-28,0.194,0.196,0.192,0.194,858500,0.194
2015-07-27,0.20,0.20,0.192,0.195,2489700,0.195
2015-07-24,0.20,0.21,0.199,0.20,21640500,0.20
2015-07-23,0.205,0.205,0.20,0.205,2144300,0.205
2015-07-22,0.205,0.21,0.20,0.20,3755700,0.20
2015-07-21,0.20,0.215,0.20,0.205,9470600,0.205
2015-07-20,0.199,0.205,0.199,0.20,1564800,0.20
2015-07-17,0.199,0.199,0.199,0.199,000,0.199
2015-07-16,0.199,0.20,0.198,0.199,446800,0.199
2015-07-15,0.20,0.205,0.197,0.198,2091100,0.198
2015-07-14,0.198,0.205,0.198,0.20,14234500,0.20
2015-07-13,0.195,0.196,0.193,0.196,2768900,0.196
2015-07-10,0.195,0.197,0.192,0.194,3389100,0.194
2015-07-09,0.191,0.195,0.189,0.195,4268400,0.195
2015-07-08,0.196,0.196,0.188,0.19,7159900,0.19
2015-07-07,0.195,0.198,0.195,0.196,2273800,0.196
2015-07-06,0.20,0.205,0.193,0.195,5739700,0.195
2015-07-03,0.21,0.21,0.198,0.20,9465700,0.20
2015-07-02,0.21,0.215,0.205,0.205,5706900,0.205
2015-07-01,0.22,0.22,0.205,0.21,4244600,0.21
2015-06-30,0.215,0.225,0.205,0.215,13969800,0.215
2015-06-29,0.225,0.23,0.205,0.215,6213200,0.215
2015-06-26,0.23,0.235,0.22,0.225,1875800,0.225
2015-06-25,0.235,0.24,0.23,0.23,1160100,0.23
2015-06-24,0.225,0.245,0.22,0.235,18955200,0.235
2015-06-23,0.23,0.23,0.22,0.22,2168100,0.22
2015-06-22,0.225,0.23,0.22,0.225,2446500,0.225
2015-06-19,0.22,0.225,0.215,0.22,4409400,0.22
2015-06-18,0.23,0.23,0.21,0.215,5213700,0.215
2015-06-17,0.225,0.235,0.225,0.225,6448100,0.225
2015-06-16,0.23,0.23,0.225,0.225,1344300,0.225
2015-06-15,0.225,0.23,0.225,0.225,4813100,0.225
2015-06-12,0.225,0.23,0.22,0.225,2441900,0.225
2015-06-11,0.235,0.235,0.225,0.23,15386800,0.23
2015-06-10,0.215,0.235,0.215,0.23,14636100,0.23
2015-06-09,0.23,0.235,0.21,0.215,4895000,0.215
2015-06-08,0.235,0.24,0.23,0.23,1650200,0.23
2015-06-05,0.24,0.24,0.225,0.24,10343900,0.24
2015-06-04,0.255,0.255,0.235,0.235,8962100,0.235
2015-06-03,0.255,0.265,0.245,0.25,3984200,0.25
2015-06-02,0.265,0.265,0.24,0.255,7893500,0.255
2015-06-01,0.265,0.265,0.265,0.265,000,0.265
2015-05-29,0.27,0.275,0.26,0.265,8373600,0.265
2015-05-28,0.27,0.275,0.26,0.27,5581500,0.27
2015-05-27,0.265,0.275,0.265,0.27,14150800,0.27
2015-05-26,0.26,0.275,0.255,0.27,24357400,0.27
2015-05-25,0.24,0.26,0.24,0.26,21792100,0.26
2015-05-22,0.245,0.25,0.235,0.24,6287200,0.24
2015-05-21,0.245,0.255,0.24,0.245,9798600,0.245
2015-05-20,0.235,0.255,0.23,0.25,23650200,0.25
2015-05-19,0.245,0.245,0.23,0.235,11160100,0.235
2015-05-18,0.235,0.25,0.225,0.25,25897200,0.25
2015-05-15,0.21,0.235,0.205,0.23,30824600,0.23
2015-05-14,0.20,0.21,0.20,0.21,7749000,0.21
2015-05-13,0.205,0.215,0.199,0.20,17498600,0.20
2015-05-12,0.198,0.21,0.197,0.20,34314300,0.20
2015-05-11,0.191,0.198,0.189,0.198,16409200,0.198
2015-05-08,0.188,0.192,0.188,0.19,5188800,0.19
2015-05-07,0.193,0.193,0.187,0.187,7746000,0.187
2015-05-06,0.19,0.195,0.19,0.192,5244500,0.192
2015-05-05,0.197,0.198,0.19,0.192,13566500,0.192
2015-05-04,0.192,0.199,0.192,0.196,14534300,0.196
2015-05-01,0.191,0.191,0.191,0.191,000,0.191
2015-04-30,0.185,0.192,0.184,0.191,45859800,0.191
2015-04-29,0.199,0.20,0.192,0.194,8222300,0.194
2015-04-28,0.205,0.21,0.199,0.20,16142300,0.20
2015-04-27,0.192,0.205,0.191,0.20,19674700,0.20
2015-04-24,0.184,0.193,0.181,0.19,9795800,0.19
2015-04-23,0.191,0.192,0.183,0.184,6832600,0.184
2015-04-22,0.199,0.199,0.191,0.191,4166900,0.191
2015-04-21,0.20,0.205,0.196,0.198,6321400,0.198
2015-04-20,0.20,0.215,0.198,0.20,29382900,0.20
2015-04-17,0.182,0.205,0.181,0.205,41476700,0.205
2015-04-16,0.183,0.183,0.178,0.181,4811300,0.181
2015-04-15,0.184,0.184,0.181,0.182,3422700,0.182
2015-04-14,0.185,0.187,0.181,0.182,5594500,0.182
2015-04-13,0.178,0.185,0.177,0.184,9771300,0.184
2015-04-10,0.177,0.179,0.176,0.178,3706100,0.178
2015-04-09,0.176,0.178,0.175,0.177,1405500,0.177
2015-04-08,0.175,0.176,0.174,0.175,685800,0.175
2015-04-07,0.176,0.177,0.174,0.175,1595900,0.175
2015-04-06,0.174,0.175,0.174,0.175,1194800,0.175
2015-04-03,0.174,0.174,0.174,0.174,000,0.174
2015-04-02,0.174,0.176,0.174,0.174,732200,0.174
2015-04-01,0.175,0.176,0.174,0.175,2682500,0.175
2015-03-31,0.174,0.175,0.174,0.175,1626500,0.175
2015-03-30,0.17677,0.17677,0.1738,0.17578,4013700,0.17578
2015-03-27,0.17578,0.17874,0.17479,0.17677,3149800,0.17677
2015-03-26,0.17183,0.17677,0.17183,0.17578,2971300,0.17578
2015-03-25,0.17282,0.17282,0.17183,0.17183,144000,0.17183
2015-03-24,0.17084,0.17479,0.17084,0.17183,1120700,0.17183
2015-03-23,0.17183,0.17183,0.17084,0.17183,570100,0.17183
2015-03-20,0.17183,0.17282,0.17084,0.17084,640900,0.17084
2015-03-19,0.17084,0.17183,0.17084,0.17183,513100,0.17183
2015-03-18,0.17282,0.17282,0.17084,0.17084,901400,0.17084
2015-03-17,0.17282,0.17282,0.17084,0.17183,329500,0.17183
2015-03-16,0.17282,0.17282,0.16985,0.17084,1074000,0.17084
2015-03-13,0.17183,0.17479,0.17183,0.1738,1226900,0.1738
2015-03-12,0.17183,0.17578,0.17183,0.1738,2059700,0.1738
2015-03-11,0.17084,0.17282,0.17084,0.17183,197500,0.17183
2015-03-10,0.17183,0.1738,0.17084,0.17183,240400,0.17183
2015-03-09,0.17183,0.1738,0.17183,0.17183,527400,0.17183
2015-03-06,0.17183,0.17282,0.17084,0.17084,278200,0.17084
2015-03-05,0.17084,0.17282,0.16985,0.17183,596200,0.17183
2015-03-04,0.17578,0.17578,0.17084,0.17084,383600,0.17084
2015-03-03,0.17084,0.17282,0.17084,0.17084,412700,0.17084
2015-03-02,0.1738,0.1738,0.17183,0.17282,928800,0.17282
2015-02-27,0.17282,0.1738,0.17282,0.17282,136000,0.17282
2015-02-26,0.17282,0.17479,0.17282,0.17282,216300,0.17282
2015-02-25,0.1738,0.17677,0.17282,0.17282,275600,0.17282
2015-02-24,0.17578,0.17578,0.17282,0.17578,597900,0.17578
2015-02-23,0.17183,0.17578,0.17183,0.17282,1075800,0.17282
2015-02-20,0.17282,0.17282,0.17282,0.17282,000,0.17282
2015-02-19,0.17282,0.17282,0.17282,0.17282,000,0.17282
2015-02-18,0.1738,0.17479,0.17183,0.17282,1832300,0.17282
2015-02-17,0.17578,0.17578,0.1738,0.17479,532600,0.17479
2015-02-16,0.17677,0.17677,0.17282,0.17479,1472400,0.17479
2015-02-13,0.17775,0.17775,0.1738,0.17677,1502500,0.17677
2015-02-12,0.18269,0.18269,0.17479,0.17677,4340600,0.17677
2015-02-11,0.1975,0.20244,0.18269,0.18368,16793800,0.18368
2015-02-10,0.25675,0.25675,0.25675,0.25675,000,0.25675
2015-02-09,0.27157,0.27157,0.25182,0.25675,1512900,0.25675
2015-02-06,0.2765,0.28144,0.26663,0.26663,1129800,0.26663
2015-02-05,0.28144,0.28144,0.2765,0.2765,314800,0.2765
2015-02-04,0.28144,0.28638,0.2765,0.2765,711600,0.2765
2015-02-03,0.29132,0.29625,0.28144,0.28144,176700,0.28144
2015-02-02,0.28638,0.29132,0.28638,0.28638,356100,0.28638
2015-01-30,0.2765,0.29132,0.2765,0.28638,1107000,0.28638
2015-01-29,0.28144,0.28638,0.2765,0.2765,252800,0.2765
2015-01-28,0.29132,0.29132,0.2765,0.28144,274900,0.28144
2015-01-27,0.26663,0.30119,0.26663,0.29625,969400,0.29625
2015-01-26,0.2765,0.2765,0.26663,0.27157,196100,0.27157
2015-01-23,0.2765,0.2765,0.27157,0.27157,225400,0.27157
2015-01-22,0.27157,0.27157,0.26663,0.26663,141100,0.26663
2015-01-21,0.27157,0.2765,0.26663,0.26663,62900,0.26663
2015-01-20,0.26663,0.2765,0.26663,0.27157,159400,0.27157
2015-01-19,0.2765,0.28144,0.27157,0.2765,182200,0.2765
2015-01-16,0.27157,0.27157,0.27157,0.27157,39400,0.27157
2015-01-15,0.2765,0.2765,0.2765,0.2765,141700,0.2765
2015-01-14,0.28144,0.28144,0.2765,0.2765,443500,0.2765
2015-01-13,0.29132,0.29132,0.2765,0.2765,275400,0.2765
2015-01-12,0.28638,0.28638,0.28638,0.28638,102200,0.28638
2015-01-09,0.29625,0.29625,0.2765,0.28144,592300,0.28144
2015-01-08,0.29625,0.29625,0.28144,0.28638,667300,0.28638
2015-01-07,0.28144,0.29132,0.28144,0.29132,130600,0.29132
2015-01-06,0.29132,0.29132,0.28638,0.28638,937700,0.28638
2015-01-05,0.28638,0.29625,0.28638,0.29132,538700,0.29132
2015-01-02,0.2765,0.28638,0.2765,0.28638,229800,0.28638
2015-01-01,0.27157,0.27157,0.27157,0.27157,000,0.27157
2014-12-31,0.27157,0.27157,0.27157,0.27157,2000,0.27157
2014-12-30,0.26663,0.28144,0.26663,0.28144,262200,0.28144
2014-12-29,0.27157,0.2765,0.26663,0.2765,190300,0.2765
2014-12-26,0.2765,0.2765,0.27157,0.2765,130600,0.2765
2014-12-25,0.2765,0.2765,0.2765,0.2765,000,0.2765
