Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,2.73,2.73,2.70,2.72,325600,2.63
2015-12-29,2.70,2.73,2.70,2.73,431000,2.64
2015-12-28,2.66,2.71,2.66,2.70,424000,2.61
2015-12-25,2.66,2.66,2.66,2.66,000,2.58
2015-12-24,2.64,2.66,2.64,2.66,246100,2.58
2015-12-23,2.66,2.68,2.64,2.64,1122700,2.56
2015-12-22,2.67,2.68,2.66,2.67,422800,2.58
2015-12-21,2.63,2.69,2.61,2.68,674700,2.59
2015-12-18,2.70,2.70,2.63,2.63,1867800,2.55
2015-12-17,2.72,2.72,2.68,2.70,616400,2.61
2015-12-16,2.73,2.73,2.68,2.70,1041200,2.61
2015-12-15,2.68,2.72,2.68,2.72,584800,2.63
2015-12-14,2.70,2.70,2.67,2.68,1004800,2.59
2015-12-11,2.71,2.73,2.69,2.71,1161800,2.62
2015-12-10,2.74,2.74,2.71,2.71,990700,2.62
2015-12-09,2.78,2.79,2.74,2.74,1212800,2.65
2015-12-08,2.81,2.81,2.78,2.79,878200,2.70
2015-12-07,2.77,2.81,2.77,2.81,1519300,2.72
2015-12-04,2.77,2.78,2.75,2.77,416300,2.68
2015-12-03,2.78,2.78,2.75,2.77,878400,2.68
2015-12-02,2.79,2.81,2.77,2.78,807800,2.69
2015-12-01,2.81,2.83,2.76,2.76,1106600,2.67
2015-11-30,2.85,2.85,2.80,2.81,545200,2.72
2015-11-27,2.87,2.87,2.82,2.84,1111700,2.75
2015-11-26,2.88,2.88,2.85,2.88,657200,2.79
2015-11-25,2.86,2.87,2.84,2.85,690800,2.76
2015-11-24,2.85,2.87,2.83,2.86,279500,2.77
2015-11-23,2.85,2.86,2.83,2.84,510900,2.75
2015-11-20,2.85,2.86,2.81,2.85,745200,2.76
2015-11-19,2.81,2.85,2.78,2.85,1063300,2.76
2015-11-18,2.77,2.82,2.76,2.81,2330100,2.72
2015-11-17,2.78,2.78,2.76,2.77,486100,2.68
2015-11-16,2.75,2.78,2.74,2.78,1517500,2.69
2015-11-13,2.78,2.78,2.75,2.77,1522200,2.68
2015-11-12,2.80,2.81,2.78,2.78,785800,2.69
2015-11-11,2.80,2.82,2.80,2.81,972800,2.72
2015-11-10,2.80,2.80,2.80,2.80,000,2.71
2015-11-09,2.81,2.82,2.78,2.80,2589800,2.71
2015-11-06,2.83,2.84,2.81,2.81,959300,2.72
2015-11-05,2.83,2.85,2.82,2.83,754200,2.74
2015-11-04,2.83,2.85,2.82,2.83,1136900,2.74
2015-11-03,2.82,2.84,2.81,2.82,661300,2.73
2015-11-02,2.83,2.84,2.81,2.81,1064800,2.72
2015-10-30,2.85,2.86,2.83,2.84,1315200,2.75
2015-10-29,2.87,2.89,2.85,2.86,1150500,2.77
2015-10-28,2.89,2.90,2.86,2.87,1123700,2.78
2015-10-27,2.92,2.92,2.88,2.89,644600,2.80
2015-10-26,2.90,2.93,2.90,2.92,989200,2.83
2015-10-23,2.91,2.92,2.89,2.90,1110100,2.81
2015-10-22,2.94,2.94,2.88,2.88,1899900,2.79
2015-10-21,2.92,2.98,2.89,2.92,1873000,2.83
2015-10-20,2.90,2.93,2.86,2.92,1022100,2.83
2015-10-19,2.89,2.90,2.87,2.90,548000,2.81
2015-10-16,2.89,2.90,2.87,2.88,745400,2.79
2015-10-15,2.87,2.89,2.86,2.88,478500,2.79
2015-10-14,2.89,2.89,2.86,2.87,853300,2.78
2015-10-13,2.91,2.92,2.86,2.87,1205700,2.78
2015-10-12,2.91,2.92,2.89,2.91,941500,2.82
2015-10-09,2.91,2.93,2.88,2.91,1209700,2.82
2015-10-08,2.93,2.96,2.89,2.90,1110500,2.81
2015-10-07,2.89,2.94,2.88,2.92,781000,2.83
2015-10-06,2.87,2.89,2.86,2.88,956900,2.79
2015-10-05,2.85,2.86,2.84,2.84,702800,2.75
2015-10-02,2.84,2.84,2.82,2.83,508000,2.74
2015-10-01,2.84,2.86,2.83,2.85,675900,2.76
2015-09-30,2.84,2.87,2.81,2.82,1377800,2.73
2015-09-29,2.85,2.86,2.81,2.85,982600,2.76
2015-09-28,2.92,2.92,2.86,2.86,506100,2.77
2015-09-25,2.88,2.93,2.88,2.90,489800,2.81
2015-09-24,2.91,2.91,2.91,2.91,000,2.82
