Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,6.57,6.58,6.51,6.54,1634700,6.29321
2015-12-29,6.53,6.54,6.48,6.50,2276700,6.25472
2015-12-28,6.55,6.58,6.54,6.55,2085900,6.30283
2015-12-25,6.53,6.53,6.53,6.53,000,6.28359
2015-12-24,6.54,6.58,6.50,6.53,2757500,6.28359
2015-12-23,6.48,6.55,6.47,6.50,2410000,6.25472
2015-12-22,6.38,6.47,6.37,6.46,2879100,6.21623
2015-12-21,6.43,6.47,6.39,6.42,2504300,6.17774
2015-12-18,6.30,6.51,6.30,6.51,5209300,6.26434
2015-12-17,6.39,6.56,6.35,6.47,4596400,6.22585
2015-12-16,6.36,6.45,6.33,6.42,3120900,6.17774
2015-12-15,6.23,6.30,6.22,6.29,2445200,6.05264
2015-12-14,6.33,6.33,6.20,6.22,5222200,5.98528
2015-12-11,6.37,6.41,6.36,6.36,2646200,6.12
2015-12-10,6.42,6.44,6.40,6.40,1955800,6.15849
2015-12-09,6.40,6.45,6.40,6.42,1783800,6.17774
2015-12-08,6.47,6.48,6.41,6.42,3934300,6.17774
2015-12-07,6.49,6.59,6.49,6.57,3244500,6.32208
2015-12-04,6.45,6.50,6.40,6.49,4933600,6.24509
2015-12-03,6.50,6.52,6.45,6.46,7580000,6.21623
2015-12-02,6.61,6.65,6.50,6.53,5836400,6.28359
2015-12-01,6.55,6.64,6.55,6.61,2418700,6.36057
2015-11-30,6.68,6.68,6.55,6.55,6278600,6.30283
2015-11-27,6.66,6.68,6.60,6.61,5274500,6.36057
2015-11-26,6.71,6.74,6.68,6.70,5162700,6.44717
2015-11-25,6.84,6.88,6.70,6.70,3909600,6.44717
2015-11-24,6.69,6.88,6.68,6.84,2844900,6.58189
2015-11-23,6.67,6.75,6.67,6.69,1904600,6.43755
2015-11-20,6.75,6.76,6.68,6.71,2669200,6.45679
2015-11-19,6.71,6.80,6.71,6.76,2128900,6.50491
2015-11-18,6.86,6.86,6.69,6.69,5255700,6.43755
2015-11-17,6.87,6.91,6.80,6.81,3130000,6.55302
2015-11-16,6.80,6.81,6.75,6.80,3734000,6.5434
2015-11-13,6.81,6.85,6.81,6.81,4172100,6.55302
2015-11-12,7.01,7.02,6.90,6.90,5626300,6.63962
2015-11-11,7.02,7.11,7.00,7.01,2884000,6.74547
2015-11-10,7.07,7.07,7.07,7.07,000,6.80321
2015-11-09,7.06,7.15,7.06,7.07,1785800,6.80321
2015-11-06,7.16,7.18,7.07,7.12,1617700,6.85132
2015-11-05,7.10,7.18,7.10,7.16,2613900,6.88981
2015-11-04,7.13,7.18,7.10,7.17,4458100,6.89943
2015-11-03,7.00,7.08,7.00,7.08,2114500,6.81283
2015-11-02,7.03,7.08,6.91,6.96,4541600,6.69736
2015-10-30,7.06,7.19,7.06,7.08,3295400,6.81283
2015-10-29,7.24,7.34,7.12,7.12,3000600,6.85132
2015-10-28,7.13,7.24,7.13,7.16,2264000,6.88981
2015-10-27,7.20,7.24,7.11,7.12,3201300,6.85132
2015-10-26,7.27,7.29,7.18,7.20,4211600,6.9283
2015-10-23,7.37,7.37,7.19,7.25,5340100,6.97642
2015-10-22,7.26,7.32,7.26,7.29,2102900,7.01491
2015-10-21,7.28,7.32,7.23,7.26,2131300,6.98604
2015-10-20,7.29,7.29,7.22,7.22,2013000,6.94755
2015-10-19,7.30,7.32,7.24,7.25,3273900,6.97642
2015-10-16,7.38,7.40,7.17,7.35,5309600,7.07264
2015-10-15,7.31,7.40,7.29,7.39,3369400,7.11113
2015-10-14,7.20,7.35,7.19,7.29,4001100,7.01491
2015-10-13,7.34,7.37,7.15,7.20,8936300,6.9283
2015-10-12,7.36,7.46,7.34,7.45,9151900,7.16887
2015-10-09,7.29,7.45,7.25,7.44,12505100,7.15925
2015-10-08,7.21,7.30,7.14,7.16,8149100,6.88981
2015-10-07,7.00,7.19,6.96,7.18,15142600,6.90906
2015-10-06,6.90,6.92,6.85,6.92,6028100,6.65887
2015-10-05,6.79,6.86,6.76,6.86,5202400,6.60113
2015-10-02,6.67,6.70,6.61,6.70,6191300,6.44717
2015-10-01,6.84,6.84,6.70,6.72,3208300,6.46642
2015-09-30,6.65,6.82,6.65,6.78,6009700,6.52415
2015-09-29,6.67,6.76,6.60,6.75,5833600,6.49528
2015-09-28,6.77,6.83,6.71,6.76,2984000,6.50491
2015-09-25,6.82,6.87,6.76,6.82,4885800,6.56264
2015-09-24,6.89,6.89,6.89,6.89,000,6.63
2015-09-23,6.93,6.94,6.82,6.89,6825500,6.63
2015-09-22,7.18,7.29,6.90,6.97,6561000,6.70698
2015-09-21,7.01,7.15,7.00,7.15,2955600,6.88019
2015-09-18,7.00,7.35,7.00,7.15,5945300,6.88019
2015-09-17,6.97,7.13,6.94,7.07,7653900,6.80321
2015-09-16,6.84,6.91,6.78,6.82,3688900,6.56264
2015-09-15,6.65,6.76,6.63,6.72,4975300,6.46642
2015-09-14,6.85,6.87,6.75,6.78,4086500,6.52415
2015-09-11,6.86,6.86,6.86,6.86,000,6.60113
2015-09-10,6.87,6.92,6.81,6.86,3594400,6.60113
2015-09-09,6.91,7.04,6.81,7.01,4797200,6.74547
2015-09-08,6.70,6.85,6.55,6.82,6362300,6.56264
2015-09-07,6.68,6.73,6.65,6.69,3104600,6.43755
2015-09-04,6.78,6.80,6.71,6.75,3563800,6.49528
2015-09-03,6.78,6.80,6.75,6.79,1969200,6.53377
2015-09-02,6.75,6.83,6.65,6.73,4296800,6.47604
2015-09-01,6.94,6.98,6.73,6.75,5870400,6.49528
2015-08-31,7.01,7.04,6.82,6.84,9537600,6.58189
2015-08-28,7.20,7.25,7.01,7.04,8202400,6.77434
2015-08-27,6.90,6.99,6.88,6.96,6471100,6.69736
2015-08-26,6.74,6.88,6.69,6.78,9384300,6.52415
2015-08-25,6.33,7.01,6.32,6.99,23645200,6.72623
2015-08-24,6.60,6.62,6.49,6.49,13287500,6.24509
2015-08-21,6.80,6.85,6.75,6.80,8845400,6.5434
2015-08-20,7.02,7.02,6.95,6.96,6116400,6.69736
2015-08-19,7.10,7.11,7.05,7.09,4039500,6.82245
2015-08-18,7.25,7.28,7.12,7.15,4795100,6.88019
2015-08-17,7.36,7.37,7.27,7.27,3769000,6.99566
2015-08-14,7.42,7.50,7.34,7.35,3043600,7.07264
2015-08-13,7.32,7.53,7.30,7.40,5296500,7.12076
2015-08-12,7.40,7.46,7.28,7.30,7890000,7.02453
2015-08-11,7.72,7.77,7.43,7.45,7409300,7.16887
2015-08-10,7.52,7.52,7.52,7.52,000,7.23623
2015-08-07,7.52,7.52,7.52,7.52,000,7.23623
2015-08-06,7.60,7.61,7.45,7.52,4462200,7.23623
2015-08-05,7.37,7.67,7.36,7.62,7483900,7.33245
2015-08-04,7.37,7.38,7.30,7.38,9168100,7.10151
2015-08-03,7.58,7.64,7.41,7.41,7160100,7.13038
2015-07-31,7.70,7.71,7.50,7.50,14683500,7.21698
2015-07-30,7.85,7.92,7.80,7.80,4390600,7.50566
2015-07-29,7.88,7.88,7.84,7.84,6187300,7.54415
2015-07-28,8.00,8.03,7.91,7.95,12856600,7.53453
2015-07-27,8.10,8.11,8.06,8.08,4677700,7.65773
2015-07-24,8.16,8.18,8.11,8.12,6357700,7.69564
2015-07-23,8.15,8.22,8.15,8.16,2583800,7.73355
2015-07-22,8.16,8.19,8.14,8.14,2945300,7.7146
2015-07-21,8.19,8.20,8.14,8.18,3187900,7.75251
2015-07-20,8.22,8.24,8.13,8.17,3950800,7.74303
2015-07-17,8.18,8.18,8.18,8.18,000,7.75251
2015-07-16,8.15,8.19,8.14,8.18,2464800,7.75251
2015-07-15,8.20,8.24,8.11,8.15,4520800,7.72408
2015-07-14,8.37,8.37,8.17,8.19,3505000,7.76199
2015-07-13,8.18,8.19,8.11,8.17,3258900,7.74303
2015-07-10,8.13,8.23,8.13,8.15,3177200,7.72408
2015-07-09,8.14,8.23,8.10,8.12,4239900,7.69564
2015-07-08,8.22,8.26,8.15,8.15,4883700,7.72408
2015-07-07,8.17,8.30,8.17,8.29,2687100,7.85676
2015-07-06,8.21,8.22,8.16,8.21,1879500,7.78094
2015-07-03,8.21,8.28,8.21,8.23,1249000,7.7999
2015-07-02,8.29,8.30,8.21,8.21,2865600,7.78094
2015-07-01,8.19,8.30,8.19,8.22,4047000,7.79042
2015-06-30,8.20,8.28,8.17,8.22,4701300,7.79042
2015-06-29,8.27,8.28,8.22,8.22,4128700,7.79042
2015-06-26,8.36,8.37,8.30,8.32,3559200,7.88519
2015-06-25,8.38,8.40,8.34,8.36,4618300,7.9231
2015-06-24,8.40,8.47,8.40,8.40,2802600,7.96101
2015-06-23,8.41,8.42,8.38,8.40,3306500,7.96101
2015-06-22,8.46,8.48,8.40,8.41,2888800,7.97049
2015-06-19,8.53,8.53,8.42,8.42,4558800,7.97997
2015-06-18,8.50,8.52,8.43,8.51,3288500,8.06526
2015-06-17,8.51,8.54,8.48,8.50,2232200,8.05579
2015-06-16,8.48,8.50,8.37,8.50,3710000,8.05579
2015-06-15,8.50,8.50,8.40,8.42,2748800,7.97997
2015-06-12,8.47,8.54,8.45,8.54,2238800,8.09369
2015-06-11,8.50,8.54,8.46,8.52,4497400,8.07474
2015-06-10,8.41,8.51,8.40,8.41,5536800,7.97049
2015-06-09,8.45,8.54,8.39,8.39,5873800,7.95153
2015-06-08,8.50,8.52,8.48,8.48,3931100,8.03683
