Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,0.34,0.345,0.335,0.335,7893500,0.3309
2015-12-29,0.34,0.345,0.33,0.34,12078400,0.33584
2015-12-28,0.345,0.35,0.335,0.335,8045600,0.3309
2015-12-25,0.35,0.35,0.35,0.35,000,0.34571
2015-12-24,0.345,0.35,0.34,0.35,4497800,0.34571
2015-12-23,0.34,0.345,0.335,0.34,8733800,0.33584
2015-12-22,0.345,0.355,0.335,0.34,23197000,0.33584
2015-12-21,0.315,0.35,0.315,0.345,35113000,0.34078
2015-12-18,0.315,0.32,0.31,0.315,30225200,0.31114
2015-12-17,0.325,0.325,0.315,0.32,35089200,0.31608
2015-12-16,0.32,0.33,0.315,0.325,32049500,0.32102
2015-12-15,0.32,0.32,0.31,0.32,24138500,0.31608
2015-12-14,0.32,0.32,0.31,0.32,23041600,0.31608
2015-12-11,0.33,0.33,0.32,0.325,10805400,0.32102
2015-12-10,0.33,0.335,0.325,0.33,17457300,0.32596
2015-12-09,0.345,0.345,0.33,0.335,19552700,0.3309
2015-12-08,0.35,0.35,0.34,0.34,12796400,0.33584
2015-12-07,0.35,0.35,0.345,0.35,9329600,0.34571
2015-12-04,0.345,0.35,0.34,0.35,14405800,0.34571
2015-12-03,0.35,0.35,0.345,0.35,13537500,0.34571
2015-12-02,0.355,0.36,0.35,0.35,16082700,0.34571
2015-12-01,0.355,0.355,0.345,0.355,15142600,0.35065
2015-11-30,0.355,0.36,0.34,0.36,37687500,0.35559
2015-11-27,0.36,0.36,0.355,0.355,14366400,0.35065
2015-11-26,0.365,0.365,0.36,0.365,14446800,0.36053
2015-11-25,0.365,0.37,0.36,0.365,20796700,0.36053
2015-11-24,0.365,0.365,0.36,0.36,13319700,0.35559
2015-11-23,0.36,0.365,0.355,0.36,22877400,0.35559
2015-11-20,0.36,0.365,0.355,0.36,33300900,0.35559
2015-11-19,0.36,0.365,0.355,0.36,19332400,0.35559
2015-11-18,0.355,0.365,0.355,0.355,14518600,0.35065
2015-11-17,0.365,0.365,0.355,0.36,16465100,0.35559
2015-11-16,0.36,0.365,0.355,0.36,30241300,0.35559
2015-11-13,0.355,0.37,0.355,0.37,31778900,0.36547
2015-11-12,0.365,0.37,0.355,0.355,15061000,0.35065
2015-11-11,0.375,0.375,0.365,0.365,16524000,0.36053
2015-11-10,0.38,0.38,0.38,0.38,000,0.37535
2015-11-09,0.375,0.38,0.37,0.38,9543500,0.37535
2015-11-06,0.38,0.38,0.37,0.375,19376300,0.37041
2015-11-05,0.38,0.385,0.375,0.385,15131300,0.38029
2015-11-04,0.38,0.39,0.375,0.385,25688000,0.38029
2015-11-03,0.38,0.385,0.375,0.38,26200800,0.37535
