Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,0.21,0.21,0.21,0.21,19000,0.21
2015-12-29,0.21,0.21,0.21,0.21,000,0.21
2015-12-28,0.21,0.21,0.21,0.21,10600,0.21
2015-12-25,0.21,0.21,0.21,0.21,000,0.21
2015-12-24,0.21,0.21,0.21,0.21,000,0.21
2015-12-23,0.205,0.21,0.205,0.21,25200,0.21
2015-12-22,0.205,0.21,0.195,0.205,186400,0.205
2015-12-21,0.205,0.205,0.205,0.205,1500,0.205
2015-12-18,0.24,0.24,0.24,0.24,000,0.24
2015-12-17,0.205,0.24,0.205,0.24,705500,0.24
2015-12-16,0.20,0.21,0.20,0.21,244100,0.21
2015-12-15,0.205,0.205,0.205,0.205,504600,0.205
2015-12-14,0.205,0.205,0.205,0.205,60000,0.205
2015-12-11,0.21,0.21,0.21,0.21,13500,0.21
2015-12-10,0.22,0.22,0.215,0.215,58100,0.215
2015-12-09,0.22,0.22,0.21,0.21,147900,0.21
2015-12-08,0.215,0.215,0.215,0.215,000,0.215
2015-12-07,0.215,0.22,0.215,0.215,263900,0.215
2015-12-04,0.215,0.215,0.215,0.215,205500,0.215
2015-12-03,0.23,0.23,0.215,0.215,212000,0.215
2015-12-02,0.215,0.215,0.205,0.215,554500,0.215
2015-12-01,0.215,0.215,0.215,0.215,606000,0.215
2015-11-30,0.21,0.215,0.21,0.215,19000,0.215
2015-11-27,0.215,0.22,0.21,0.21,205000,0.21
2015-11-26,0.215,0.215,0.215,0.215,441100,0.215
2015-11-25,0.215,0.215,0.21,0.215,653000,0.215
2015-11-24,0.215,0.215,0.215,0.215,000,0.215
2015-11-23,0.215,0.215,0.215,0.215,14200,0.215
2015-11-20,0.22,0.22,0.22,0.22,86600,0.22
2015-11-19,0.225,0.225,0.215,0.215,100000,0.215
2015-11-18,0.225,0.225,0.21,0.225,30000,0.225
2015-11-17,0.225,0.225,0.225,0.225,100,0.225
2015-11-16,0.23,0.23,0.23,0.23,000,0.23
2015-11-13,0.23,0.24,0.23,0.23,51100,0.23
2015-11-12,0.235,0.24,0.23,0.23,39000,0.23
2015-11-11,0.23,0.23,0.23,0.23,000,0.23
2015-11-10,0.23,0.23,0.23,0.23,000,0.23
2015-11-09,0.235,0.235,0.23,0.23,150000,0.23
2015-11-06,0.235,0.235,0.235,0.235,130200,0.235
2015-11-05,0.235,0.24,0.23,0.23,137100,0.23
2015-11-04,0.235,0.235,0.235,0.235,000,0.235
2015-11-03,0.23,0.235,0.23,0.235,55000,0.235
2015-11-02,0.235,0.24,0.235,0.24,51900,0.24
2015-10-30,0.235,0.235,0.235,0.235,250000,0.235
2015-10-29,0.24,0.24,0.24,0.24,9000,0.24
2015-10-28,0.24,0.24,0.24,0.24,000,0.24
2015-10-27,0.24,0.24,0.24,0.24,000,0.24
2015-10-26,0.24,0.24,0.24,0.24,20000,0.24
2015-10-23,0.235,0.235,0.235,0.235,57600,0.235
2015-10-22,0.235,0.235,0.235,0.235,62300,0.235
2015-10-21,0.24,0.24,0.24,0.24,81000,0.24
2015-10-20,0.24,0.24,0.24,0.24,255000,0.24
2015-10-19,0.235,0.25,0.235,0.25,282500,0.25
2015-10-16,0.235,0.235,0.235,0.235,000,0.235
2015-10-15,0.235,0.235,0.23,0.235,265000,0.235
2015-10-14,0.24,0.245,0.23,0.23,52600,0.23
2015-10-13,0.235,0.235,0.235,0.235,30000,0.235
2015-10-12,0.245,0.245,0.245,0.245,48000,0.245
2015-10-09,0.245,0.25,0.245,0.25,57000,0.25
2015-10-08,0.23,0.23,0.23,0.23,000,0.23
2015-10-07,0.23,0.23,0.23,0.23,49000,0.23
2015-10-06,0.23,0.23,0.23,0.23,46600,0.23
2015-10-05,0.23,0.23,0.23,0.23,000,0.23
2015-10-02,0.23,0.23,0.23,0.23,000,0.23
2015-10-01,0.23,0.23,0.225,0.23,104600,0.23
2015-09-30,0.23,0.23,0.23,0.23,000,0.23
2015-09-29,0.23,0.23,0.23,0.23,9100,0.23
2015-09-28,0.235,0.235,0.235,0.235,5000,0.235
2015-09-25,0.235,0.235,0.235,0.235,000,0.235
2015-09-24,0.235,0.235,0.235,0.235,000,0.235
2015-09-23,0.245,0.245,0.235,0.235,57000,0.235
2015-09-22,0.245,0.245,0.245,0.245,10000,0.245
2015-09-21,0.245,0.245,0.245,0.245,000,0.245
2015-09-18,0.245,0.245,0.245,0.245,000,0.245
2015-09-17,0.245,0.245,0.245,0.245,000,0.245
2015-09-16,0.23,0.245,0.23,0.245,75000,0.245
2015-09-15,0.24,0.24,0.225,0.225,61100,0.225
2015-09-14,0.23,0.23,0.23,0.23,000,0.23
2015-09-11,0.23,0.23,0.23,0.23,000,0.23
2015-09-10,0.23,0.23,0.23,0.23,8000,0.23
2015-09-09,0.265,0.265,0.265,0.265,000,0.265
2015-09-08,0.265,0.265,0.265,0.265,000,0.265
2015-09-07,0.265,0.265,0.265,0.265,000,0.265
2015-09-04,0.265,0.265,0.265,0.265,20000,0.265
2015-09-03,0.24,0.25,0.24,0.25,49800,0.25
2015-09-02,0.235,0.235,0.235,0.235,000,0.235
2015-09-01,0.235,0.235,0.235,0.235,8000,0.235
2015-08-31,0.24,0.245,0.24,0.245,20100,0.245
2015-08-28,0.23,0.245,0.23,0.245,64700,0.245
2015-08-27,0.215,0.22,0.215,0.22,57000,0.22
2015-08-26,0.215,0.215,0.215,0.215,000,0.215
2015-08-25,0.205,0.22,0.205,0.215,92000,0.215
2015-08-24,0.225,0.225,0.20,0.205,332500,0.205
2015-08-21,0.215,0.23,0.215,0.23,221000,0.23
2015-08-20,0.21,0.225,0.21,0.225,254900,0.225
2015-08-19,0.25,0.25,0.25,0.25,000,0.25
2015-08-18,0.26,0.26,0.25,0.25,18000,0.25
2015-08-17,0.245,0.245,0.245,0.245,5000,0.245
2015-08-14,0.26,0.26,0.255,0.255,46800,0.255
2015-08-13,0.25,0.275,0.25,0.26,463200,0.26
2015-08-12,0.225,0.255,0.225,0.235,40700,0.235
2015-08-11,0.235,0.235,0.235,0.235,000,0.235
2015-08-10,0.235,0.235,0.235,0.235,000,0.235
2015-08-07,0.235,0.235,0.235,0.235,000,0.235
2015-08-06,0.235,0.235,0.235,0.235,000,0.235
2015-08-05,0.235,0.235,0.235,0.235,000,0.235
2015-08-04,0.235,0.235,0.235,0.235,000,0.235
2015-08-03,0.235,0.235,0.23,0.235,36600,0.235
2015-07-31,0.225,0.235,0.225,0.235,40400,0.235
2015-07-30,0.235,0.25,0.235,0.25,30000,0.25
2015-07-29,0.23,0.23,0.225,0.23,165600,0.23
2015-07-28,0.23,0.23,0.23,0.23,15000,0.23
2015-07-27,0.245,0.245,0.23,0.23,15000,0.23
2015-07-24,0.25,0.25,0.25,0.25,40000,0.25
2015-07-23,0.25,0.25,0.25,0.25,49100,0.25
2015-07-22,0.25,0.25,0.25,0.25,10000,0.25
2015-07-21,0.25,0.25,0.25,0.25,000,0.25
2015-07-20,0.25,0.25,0.25,0.25,37000,0.25
2015-07-17,0.25,0.25,0.25,0.25,000,0.25
2015-07-16,0.25,0.25,0.25,0.25,000,0.25
2015-07-15,0.25,0.25,0.25,0.25,100,0.25
2015-07-14,0.27,0.27,0.27,0.27,000,0.27
2015-07-13,0.255,0.27,0.255,0.27,40100,0.27
2015-07-10,0.245,0.245,0.245,0.245,1200,0.245
2015-07-09,0.245,0.245,0.245,0.245,000,0.245
2015-07-08,0.25,0.25,0.245,0.245,168000,0.245
2015-07-07,0.26,0.26,0.25,0.25,150800,0.25
2015-07-06,0.255,0.255,0.255,0.255,34000,0.255
2015-07-03,0.255,0.26,0.255,0.26,46500,0.26
2015-07-02,0.26,0.265,0.26,0.265,1400,0.265
2015-07-01,0.265,0.265,0.26,0.26,200100,0.26
2015-06-30,0.26,0.26,0.26,0.26,000,0.26
2015-06-29,0.255,0.265,0.255,0.26,180000,0.26
2015-06-26,0.265,0.265,0.265,0.265,000,0.265
2015-06-25,0.26,0.265,0.26,0.265,671200,0.265
2015-06-24,0.265,0.265,0.26,0.26,153100,0.26
2015-06-23,0.265,0.265,0.26,0.265,235800,0.265
2015-06-22,0.265,0.265,0.26,0.26,11600,0.26
2015-06-19,0.26,0.26,0.26,0.26,100,0.26
2015-06-18,0.265,0.265,0.26,0.265,231600,0.265
2015-06-17,0.265,0.265,0.265,0.265,367000,0.265
2015-06-16,0.265,0.265,0.265,0.265,94200,0.265
2015-06-15,0.265,0.265,0.265,0.265,300,0.265
2015-06-12,0.27,0.275,0.27,0.27,181700,0.27
2015-06-11,0.265,0.265,0.265,0.265,2000,0.265
2015-06-10,0.265,0.275,0.265,0.27,140300,0.27
2015-06-09,0.27,0.27,0.27,0.27,347200,0.27
2015-06-08,0.27,0.27,0.27,0.27,340000,0.27
2015-06-05,0.27,0.27,0.27,0.27,000,0.27
2015-06-04,0.27,0.27,0.27,0.27,000,0.27
2015-06-03,0.27,0.28,0.27,0.27,189300,0.27
2015-06-02,0.27,0.27,0.27,0.27,3300,0.27
2015-06-01,0.275,0.275,0.275,0.275,000,0.275
2015-05-29,0.275,0.275,0.275,0.275,000,0.275
2015-05-28,0.265,0.275,0.265,0.275,426600,0.275
2015-05-27,0.27,0.275,0.265,0.265,151700,0.265
2015-05-26,0.265,0.27,0.26,0.265,759100,0.265
2015-05-25,0.275,0.28,0.265,0.265,304400,0.265
