Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,7.00,7.01,6.88,6.90,1469700,6.76
2015-12-29,6.92,7.05,6.90,7.01,1580900,6.86
2015-12-28,6.95,6.97,6.90,6.90,822900,6.76
2015-12-25,6.96,6.96,6.96,6.96,000,6.82
2015-12-24,6.98,6.98,6.92,6.96,901800,6.82
2015-12-23,7.00,7.03,6.91,6.94,1371500,6.80
2015-12-22,6.90,7.08,6.87,7.02,2904000,6.87
2015-12-21,6.87,6.92,6.84,6.87,1291000,6.73
2015-12-18,6.94,6.98,6.85,6.91,3161300,6.77
2015-12-17,6.91,7.02,6.88,6.95,2087200,6.81
2015-12-16,6.99,6.99,6.82,6.88,3630400,6.74
2015-12-15,6.87,6.96,6.81,6.91,2709000,6.77
2015-12-14,6.85,6.95,6.78,6.88,1991200,6.74
2015-12-11,6.97,7.00,6.85,6.88,2095300,6.74
2015-12-10,7.05,7.05,6.92,6.93,2523500,6.79
2015-12-09,7.03,7.07,7.00,7.03,1310700,6.88
2015-12-08,7.05,7.09,6.96,7.03,3040500,6.88
2015-12-07,7.26,7.27,7.10,7.11,1962700,6.96
2015-12-04,7.16,7.23,7.13,7.23,1729100,7.08
2015-12-03,7.23,7.24,7.15,7.18,2658800,7.03
2015-12-02,7.10,7.36,7.07,7.17,6770700,7.02
2015-12-01,7.10,7.17,7.00,7.05,15346900,6.90
2015-11-30,7.20,7.25,6.99,6.99,43249600,6.84
2015-11-27,7.22,7.22,7.13,7.20,4244700,7.05
2015-11-26,7.44,7.44,7.18,7.26,3868600,7.11
2015-11-25,7.41,7.42,7.31,7.34,3164300,7.19
2015-11-24,7.48,7.52,7.40,7.43,4979200,7.28
2015-11-23,7.41,7.52,7.37,7.47,3274800,7.31
2015-11-20,7.30,7.38,7.26,7.37,2419300,7.22
2015-11-19,7.31,7.35,7.21,7.31,2775700,7.16
2015-11-18,7.28,7.29,7.20,7.20,2357500,7.05
2015-11-17,7.33,7.35,7.25,7.32,2072700,7.17
2015-11-16,7.30,7.40,7.21,7.32,4043200,7.17
2015-11-13,7.36,7.50,7.05,7.30,7906700,7.15
2015-11-12,7.30,7.38,7.28,7.37,1934700,7.22
2015-11-11,7.36,7.36,7.27,7.29,2399600,7.14
2015-11-10,7.38,7.38,7.38,7.38,000,7.23
2015-11-09,7.54,7.55,7.36,7.38,1689800,7.23
2015-11-06,7.54,7.54,7.41,7.46,1967500,7.30
2015-11-05,7.57,7.66,7.50,7.50,2863200,7.34
2015-11-04,7.38,7.61,7.34,7.59,2513700,7.43
2015-11-03,7.49,7.57,7.35,7.36,1991600,7.21
2015-11-02,7.31,7.45,7.20,7.40,3376400,7.25
2015-10-30,7.58,7.60,7.48,7.51,3037700,7.35
2015-10-29,7.73,7.78,7.57,7.60,3043800,7.44
2015-10-28,7.79,7.84,7.75,7.78,1845500,7.62
