Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,0.43,0.43,0.395,0.40,72900500,0.40
2015-12-29,0.44,0.445,0.43,0.44,10920200,0.44
2015-12-28,0.46,0.46,0.44,0.445,19567900,0.445
2015-12-25,0.455,0.455,0.455,0.455,000,0.455
2015-12-24,0.47,0.47,0.45,0.455,19749600,0.455
2015-12-23,0.445,0.465,0.44,0.46,81561900,0.46
2015-12-22,0.42,0.445,0.42,0.44,29820200,0.44
2015-12-21,0.42,0.435,0.415,0.43,20776000,0.43
2015-12-18,0.415,0.43,0.41,0.425,44465800,0.425
2015-12-17,0.42,0.43,0.415,0.42,24950600,0.42
2015-12-16,0.42,0.435,0.41,0.42,67572700,0.42
2015-12-15,0.39,0.40,0.385,0.39,28097500,0.39
2015-12-14,0.385,0.39,0.38,0.385,18391500,0.385
2015-12-11,0.395,0.40,0.39,0.39,19834200,0.39
2015-12-10,0.40,0.405,0.39,0.39,26625400,0.39
2015-12-09,0.395,0.405,0.395,0.405,29200500,0.405
2015-12-08,0.40,0.40,0.39,0.39,31234400,0.39
2015-12-07,0.41,0.42,0.40,0.40,28129700,0.40
2015-12-04,0.405,0.415,0.405,0.41,19297800,0.41
2015-12-03,0.415,0.425,0.41,0.415,19900200,0.415
2015-12-02,0.435,0.44,0.42,0.425,16415500,0.425
2015-12-01,0.425,0.445,0.425,0.43,50871600,0.43
2015-11-30,0.405,0.425,0.40,0.425,51040000,0.425
2015-11-27,0.395,0.405,0.395,0.40,21870300,0.40
2015-11-26,0.40,0.405,0.39,0.395,74282100,0.395
2015-11-25,0.405,0.41,0.395,0.40,24882800,0.40
2015-11-24,0.40,0.41,0.395,0.405,51555900,0.405
2015-11-23,0.425,0.43,0.41,0.41,36040500,0.41
2015-11-20,0.425,0.43,0.41,0.415,41256900,0.415
2015-11-19,0.425,0.435,0.42,0.425,40036100,0.425
2015-11-18,0.42,0.43,0.415,0.42,29481900,0.42
2015-11-17,0.44,0.45,0.415,0.42,76707000,0.42
2015-11-16,0.425,0.44,0.415,0.435,74767800,0.435
2015-11-13,0.475,0.475,0.44,0.445,122258400,0.445
2015-11-12,0.51,0.515,0.495,0.50,25910000,0.50
2015-11-11,0.52,0.535,0.505,0.515,49907900,0.515
2015-11-10,0.52,0.52,0.52,0.52,000,0.52
2015-11-09,0.525,0.53,0.52,0.52,25654800,0.52
2015-11-06,0.515,0.525,0.515,0.525,24488100,0.525
2015-11-05,0.515,0.525,0.51,0.515,32666000,0.515
2015-11-04,0.51,0.53,0.51,0.525,50923100,0.525
2015-11-03,0.50,0.515,0.495,0.50,54385900,0.50
2015-11-02,0.50,0.505,0.475,0.48,76711700,0.48
2015-10-30,0.515,0.525,0.505,0.505,55726000,0.505
2015-10-29,0.545,0.545,0.515,0.52,83363600,0.52
2015-10-28,0.535,0.545,0.53,0.535,64244800,0.535
2015-10-27,0.55,0.555,0.525,0.535,71354000,0.535
2015-10-26,0.545,0.575,0.545,0.56,96661100,0.56
2015-10-23,0.53,0.55,0.525,0.54,109140000,0.54
2015-10-22,0.51,0.52,0.505,0.515,20046600,0.515
2015-10-21,0.515,0.53,0.51,0.51,49446700,0.51
2015-10-20,0.51,0.53,0.495,0.515,87842800,0.515
2015-10-19,0.505,0.515,0.495,0.505,51550600,0.505
2015-10-16,0.505,0.515,0.50,0.505,63048700,0.505
2015-10-15,0.48,0.495,0.475,0.495,56171800,0.495
2015-10-14,0.465,0.485,0.46,0.475,62183800,0.475
2015-10-13,0.50,0.505,0.47,0.47,121290700,0.47
2015-10-12,0.48,0.535,0.475,0.515,186158400,0.515
2015-10-09,0.405,0.48,0.405,0.47,245139400,0.47
2015-10-08,0.41,0.41,0.395,0.405,40786600,0.405
2015-10-07,0.385,0.41,0.38,0.405,110250900,0.405
2015-10-06,0.41,0.415,0.38,0.38,85090600,0.38
2015-10-05,0.405,0.405,0.395,0.40,39124800,0.40
2015-10-02,0.405,0.405,0.395,0.395,22951000,0.395
2015-10-01,0.42,0.425,0.405,0.41,37771000,0.41
2015-09-30,0.405,0.415,0.395,0.415,74988100,0.415
2015-09-29,0.415,0.415,0.38,0.40,121985700,0.40
2015-09-28,0.45,0.455,0.445,0.445,19513800,0.445
2015-09-25,0.45,0.46,0.44,0.455,48491300,0.455
2015-09-24,0.45,0.45,0.45,0.45,000,0.45
2015-09-23,0.46,0.47,0.435,0.45,66235900,0.45
2015-09-22,0.47,0.48,0.46,0.465,35961700,0.465
2015-09-21,0.48,0.48,0.465,0.47,16769200,0.47
2015-09-18,0.47,0.49,0.46,0.49,62230500,0.49
2015-09-17,0.46,0.47,0.45,0.47,46206800,0.47
2015-09-16,0.47,0.475,0.445,0.45,63362300,0.45
2015-09-15,0.475,0.475,0.45,0.46,21021700,0.46
2015-09-14,0.51,0.515,0.46,0.475,48992600,0.475
2015-09-11,0.515,0.515,0.515,0.515,000,0.515
2015-09-10,0.52,0.525,0.505,0.51,31469600,0.51
2015-09-09,0.54,0.54,0.52,0.53,48548100,0.53
2015-09-08,0.52,0.535,0.51,0.535,39716700,0.535
2015-09-07,0.515,0.525,0.51,0.515,20048200,0.515
2015-09-04,0.525,0.535,0.515,0.525,23157900,0.525
2015-09-03,0.54,0.54,0.53,0.535,14095600,0.535
2015-09-02,0.515,0.54,0.51,0.53,49023600,0.53
2015-09-01,0.55,0.55,0.52,0.52,46832200,0.52
2015-08-31,0.54,0.545,0.52,0.545,49809800,0.545
2015-08-28,0.535,0.56,0.515,0.52,103742500,0.52
2015-08-27,0.465,0.535,0.46,0.515,137446400,0.515
2015-08-26,0.455,0.47,0.435,0.45,74765500,0.45
2015-08-25,0.41,0.475,0.41,0.465,131581600,0.465
2015-08-24,0.43,0.43,0.41,0.41,43865400,0.41
2015-08-21,0.435,0.465,0.425,0.445,76581300,0.445
2015-08-20,0.42,0.43,0.405,0.43,59219500,0.43
2015-08-19,0.425,0.455,0.405,0.425,153801400,0.425
2015-08-18,0.46,0.48,0.41,0.415,99409300,0.415
2015-08-17,0.48,0.48,0.45,0.455,78209500,0.455
2015-08-14,0.49,0.50,0.48,0.49,47648500,0.49
2015-08-13,0.50,0.52,0.485,0.50,76918500,0.50
2015-08-12,0.57,0.57,0.495,0.505,164853100,0.505
2015-08-11,0.59,0.645,0.55,0.57,307450900,0.57
2015-08-10,0.58,0.58,0.58,0.58,000,0.58
2015-08-07,0.58,0.58,0.58,0.58,000,0.58
2015-08-06,0.57,0.585,0.56,0.58,49624600,0.58
2015-08-05,0.61,0.61,0.545,0.565,160440100,0.565
2015-08-04,0.49,0.60,0.485,0.60,263186300,0.60
2015-08-03,0.475,0.495,0.46,0.47,118543200,0.47
2015-07-31,0.515,0.53,0.435,0.455,302226600,0.455
2015-07-30,0.595,0.60,0.505,0.52,138418100,0.52
2015-07-29,0.595,0.61,0.585,0.59,31198000,0.59
2015-07-28,0.615,0.62,0.59,0.595,65693700,0.595
2015-07-27,0.63,0.635,0.615,0.62,25280300,0.62
2015-07-24,0.635,0.65,0.625,0.635,47668500,0.635
2015-07-23,0.65,0.655,0.605,0.63,127495900,0.63
2015-07-22,0.66,0.67,0.65,0.65,34548400,0.65
2015-07-21,0.675,0.68,0.66,0.665,29465900,0.665
2015-07-20,0.675,0.685,0.67,0.68,26583800,0.68
2015-07-17,0.67,0.67,0.67,0.67,000,0.67
2015-07-16,0.685,0.69,0.665,0.67,35568000,0.67
2015-07-15,0.69,0.70,0.68,0.68,24156700,0.68
2015-07-14,0.685,0.70,0.685,0.685,21949800,0.685
2015-07-13,0.685,0.695,0.675,0.685,17854000,0.685
2015-07-10,0.695,0.70,0.67,0.68,42701500,0.68
2015-07-09,0.69,0.70,0.675,0.685,34158200,0.685
2015-07-08,0.72,0.73,0.69,0.695,48579200,0.695
2015-07-07,0.72,0.745,0.70,0.715,53797300,0.715
2015-07-06,0.735,0.735,0.71,0.715,33097300,0.715
2015-07-03,0.74,0.755,0.74,0.75,13651000,0.75
2015-07-02,0.765,0.765,0.745,0.745,20080400,0.745
2015-07-01,0.76,0.775,0.75,0.755,27066400,0.755
2015-06-30,0.71,0.765,0.705,0.76,55806800,0.76
2015-06-29,0.75,0.755,0.715,0.72,34248200,0.72
2015-06-26,0.74,0.77,0.74,0.76,61631700,0.76
2015-06-25,0.72,0.735,0.72,0.735,37665100,0.735
2015-06-24,0.70,0.73,0.695,0.715,74418000,0.715
2015-06-23,0.685,0.705,0.675,0.695,37462800,0.695
2015-06-22,0.70,0.705,0.685,0.685,14454300,0.685
2015-06-19,0.68,0.70,0.68,0.70,18026700,0.70
2015-06-18,0.715,0.715,0.68,0.68,40518600,0.68
2015-06-17,0.72,0.725,0.70,0.715,73488800,0.715
2015-06-16,0.715,0.74,0.705,0.72,64975600,0.72
2015-06-15,0.68,0.725,0.675,0.72,73183900,0.72
2015-06-12,0.695,0.70,0.65,0.685,146728100,0.685
2015-06-11,0.645,0.715,0.63,0.705,167892200,0.705
2015-06-10,0.655,0.675,0.64,0.645,61780300,0.645
2015-06-09,0.70,0.705,0.66,0.66,85407800,0.66
2015-06-08,0.715,0.72,0.70,0.705,18134600,0.705
2015-06-05,0.69,0.725,0.685,0.71,49249100,0.71
2015-06-04,0.71,0.72,0.69,0.695,66577700,0.695
