Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,0.25,0.255,0.25,0.25,346500,0.25
2015-12-29,0.25,0.255,0.25,0.255,7400,0.255
2015-12-28,0.25,0.255,0.25,0.25,89300,0.25
2015-12-25,0.25,0.25,0.25,0.25,000,0.25
2015-12-24,0.255,0.255,0.25,0.25,212100,0.25
2015-12-23,0.25,0.255,0.25,0.255,264500,0.255
2015-12-22,0.245,0.25,0.245,0.245,162700,0.245
2015-12-21,0.25,0.25,0.245,0.25,361200,0.25
2015-12-18,0.25,0.255,0.245,0.245,475700,0.245
2015-12-17,0.255,0.26,0.245,0.255,1034800,0.255
2015-12-16,0.25,0.26,0.25,0.26,561700,0.26
2015-12-15,0.255,0.255,0.245,0.245,518400,0.245
2015-12-14,0.26,0.26,0.25,0.255,298400,0.255
2015-12-11,0.265,0.265,0.255,0.255,881500,0.255
2015-12-10,0.26,0.27,0.26,0.265,177600,0.265
2015-12-09,0.265,0.27,0.265,0.265,79300,0.265
2015-12-08,0.265,0.27,0.265,0.265,26000,0.265
2015-12-07,0.27,0.27,0.27,0.27,000,0.27
2015-12-04,0.265,0.27,0.26,0.27,203400,0.27
2015-12-03,0.26,0.27,0.26,0.27,272300,0.27
2015-12-02,0.265,0.27,0.26,0.27,81500,0.27
2015-12-01,0.265,0.27,0.26,0.27,170600,0.27
2015-11-30,0.265,0.27,0.265,0.27,257500,0.27
2015-11-27,0.27,0.27,0.265,0.27,313900,0.27
2015-11-26,0.27,0.27,0.265,0.27,345100,0.27
2015-11-25,0.265,0.27,0.265,0.27,235000,0.27
2015-11-24,0.265,0.27,0.26,0.27,1115400,0.27
2015-11-23,0.265,0.27,0.265,0.265,145400,0.265
2015-11-20,0.27,0.27,0.265,0.27,225300,0.27
2015-11-19,0.265,0.27,0.26,0.27,1285900,0.27
2015-11-18,0.29,0.29,0.29,0.29,000,0.29
2015-11-17,0.29,0.29,0.29,0.29,000,0.29
2015-11-16,0.29,0.29,0.29,0.29,000,0.29
2015-11-13,0.29,0.29,0.29,0.29,000,0.29
2015-11-12,0.29,0.29,0.29,0.29,000,0.29
