Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,0.085,0.085,0.085,0.085,000,0.085
2015-12-29,0.085,0.085,0.085,0.085,000,0.085
2015-12-28,0.075,0.085,0.075,0.085,7400,0.085
2015-12-25,0.088,0.088,0.088,0.088,000,0.088
2015-12-24,0.088,0.088,0.088,0.088,000,0.088
2015-12-23,0.088,0.088,0.088,0.088,000,0.088
2015-12-22,0.088,0.088,0.088,0.088,000,0.088
2015-12-21,0.088,0.088,0.088,0.088,000,0.088
2015-12-18,0.072,0.088,0.072,0.088,15500,0.088
2015-12-17,0.079,0.079,0.079,0.079,100,0.079
2015-12-16,0.083,0.083,0.083,0.083,000,0.083
2015-12-15,0.083,0.083,0.083,0.083,000,0.083
2015-12-14,0.083,0.083,0.083,0.083,000,0.083
2015-12-11,0.078,0.083,0.075,0.083,2400,0.083
2015-12-10,0.088,0.088,0.088,0.088,000,0.088
2015-12-09,0.086,0.088,0.086,0.088,1300,0.088
2015-12-08,0.095,0.095,0.074,0.081,6900,0.081
2015-12-07,0.088,0.088,0.088,0.088,000,0.088
2015-12-04,0.086,0.088,0.086,0.088,2800,0.088
2015-12-03,0.079,0.083,0.079,0.083,900,0.083
2015-12-02,0.08,0.08,0.08,0.08,100,0.08
2015-12-01,0.08,0.088,0.075,0.075,18800,0.075
2015-11-30,0.08,0.08,0.08,0.08,100,0.08
2015-11-27,0.072,0.088,0.072,0.088,400,0.088
2015-11-26,0.091,0.091,0.091,0.091,800,0.091
2015-11-25,0.082,0.082,0.082,0.082,000,0.082
2015-11-24,0.078,0.083,0.078,0.082,1300,0.082
2015-11-23,0.088,0.088,0.088,0.088,000,0.088
2015-11-20,0.088,0.088,0.088,0.088,000,0.088
2015-11-19,0.077,0.088,0.077,0.088,2100,0.088
2015-11-18,0.087,0.087,0.087,0.087,300,0.087
2015-11-17,0.093,0.093,0.076,0.077,55700,0.077
2015-11-16,0.092,0.092,0.091,0.092,18000,0.092
2015-11-13,0.089,0.09,0.089,0.09,1200,0.09
2015-11-12,0.08,0.081,0.079,0.081,103000,0.081
2015-11-11,0.091,0.091,0.091,0.091,900,0.091
2015-11-10,0.087,0.087,0.087,0.087,000,0.087
2015-11-09,0.08,0.088,0.079,0.087,11700,0.087
2015-11-06,0.091,0.091,0.091,0.091,000,0.091
2015-11-05,0.091,0.091,0.091,0.091,000,0.091
2015-11-04,0.091,0.091,0.091,0.091,000,0.091
2015-11-03,0.091,0.091,0.091,0.091,000,0.091
2015-11-02,0.091,0.091,0.091,0.091,000,0.091
2015-10-30,0.091,0.091,0.091,0.091,000,0.091
2015-10-29,0.091,0.091,0.091,0.091,000,0.091
2015-10-28,0.091,0.091,0.091,0.091,000,0.091
2015-10-27,0.091,0.091,0.091,0.091,000,0.091
2015-10-26,0.082,0.091,0.08,0.091,20800,0.091
2015-10-23,0.09,0.09,0.09,0.09,000,0.09
2015-10-22,0.09,0.09,0.09,0.09,000,0.09
2015-10-21,0.09,0.09,0.09,0.09,000,0.09
2015-10-20,0.074,0.09,0.074,0.09,73700,0.09
2015-10-19,0.09,0.09,0.09,0.09,000,0.09
2015-10-16,0.09,0.09,0.089,0.09,120000,0.09
2015-10-15,0.098,0.098,0.098,0.098,500,0.098
2015-10-14,0.082,0.082,0.082,0.082,000,0.082
2015-10-13,0.09,0.09,0.082,0.082,35000,0.082
2015-10-12,0.09,0.092,0.09,0.092,55100,0.092
2015-10-09,0.09,0.09,0.09,0.09,100,0.09
