Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,0.845,0.85,0.84,0.84,862800,0.822
2015-12-29,0.845,0.85,0.84,0.845,748700,0.827
2015-12-28,0.845,0.855,0.84,0.845,1348900,0.827
2015-12-25,0.845,0.845,0.845,0.845,000,0.827
2015-12-24,0.84,0.85,0.84,0.845,703700,0.827
2015-12-23,0.84,0.845,0.835,0.84,1321100,0.822
2015-12-22,0.845,0.845,0.835,0.845,326800,0.827
2015-12-21,0.84,0.845,0.835,0.84,388200,0.822
2015-12-18,0.835,0.845,0.835,0.84,622000,0.822
2015-12-17,0.845,0.845,0.835,0.835,12183800,0.818
2015-12-16,0.835,0.845,0.835,0.84,1288200,0.822
2015-12-15,0.84,0.85,0.83,0.835,5452500,0.818
2015-12-14,0.845,0.845,0.835,0.84,618700,0.822
2015-12-11,0.855,0.855,0.845,0.845,804200,0.827
2015-12-10,0.85,0.86,0.845,0.86,826200,0.842
2015-12-09,0.845,0.86,0.845,0.855,835300,0.837
2015-12-08,0.85,0.855,0.845,0.85,966500,0.832
2015-12-07,0.85,0.86,0.845,0.855,2659300,0.837
2015-12-04,0.84,0.855,0.84,0.85,1578300,0.832
2015-12-03,0.845,0.85,0.84,0.845,658200,0.827
2015-12-02,0.83,0.85,0.83,0.845,1816300,0.827
2015-12-01,0.83,0.835,0.825,0.83,763500,0.813
2015-11-30,0.83,0.835,0.825,0.825,786700,0.808
2015-11-27,0.835,0.84,0.82,0.825,3303800,0.808
2015-11-26,0.845,0.845,0.835,0.835,623100,0.818
2015-11-25,0.835,0.845,0.83,0.84,1367500,0.822
2015-11-24,0.84,0.84,0.83,0.83,3012900,0.813
2015-11-23,0.84,0.845,0.835,0.835,1912200,0.818
2015-11-20,0.85,0.855,0.835,0.84,3122700,0.822
2015-11-19,0.855,0.855,0.85,0.85,510600,0.832
2015-11-18,0.855,0.86,0.85,0.85,1119200,0.832
2015-11-17,0.86,0.865,0.85,0.855,1997600,0.837
2015-11-16,0.86,0.865,0.845,0.855,1619800,0.837
2015-11-13,0.855,0.865,0.85,0.865,2138200,0.847
2015-11-12,0.87,0.87,0.86,0.86,1513900,0.842
2015-11-11,0.85,0.87,0.85,0.87,3030300,0.852
2015-11-10,0.845,0.845,0.845,0.845,000,0.827
2015-11-09,0.845,0.85,0.84,0.845,1332100,0.827
2015-11-06,0.84,0.85,0.84,0.84,1783600,0.822
2015-11-05,0.84,0.85,0.835,0.84,2295900,0.822
2015-11-04,0.855,0.86,0.84,0.84,3841400,0.822
2015-11-03,0.85,0.86,0.845,0.85,3123100,0.832
2015-11-02,0.85,0.855,0.845,0.845,2496400,0.827
2015-10-30,0.87,0.87,0.85,0.85,2769200,0.832
2015-10-29,0.87,0.875,0.86,0.865,3142100,0.847
2015-10-28,0.875,0.875,0.865,0.865,2018000,0.847
2015-10-27,0.885,0.885,0.87,0.88,2216800,0.862
2015-10-26,0.88,0.895,0.88,0.88,3441500,0.862
2015-10-23,0.865,0.88,0.865,0.875,5877400,0.857
2015-10-22,0.85,0.855,0.845,0.85,1189600,0.832
2015-10-21,0.845,0.855,0.845,0.845,923900,0.827
2015-10-20,0.85,0.855,0.845,0.85,1275700,0.832
2015-10-19,0.855,0.86,0.85,0.855,1394900,0.837
2015-10-16,0.86,0.86,0.85,0.85,1257500,0.832
2015-10-15,0.86,0.865,0.85,0.855,1789700,0.837
