Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,3.69,3.70,3.65,3.68,13815000,3.68
2015-12-29,3.69,3.71,3.68,3.70,12015700,3.70
2015-12-28,3.66,3.69,3.66,3.68,11544700,3.68
2015-12-25,3.66,3.66,3.66,3.66,000,3.66
2015-12-24,3.66,3.67,3.66,3.66,6881100,3.66
2015-12-23,3.66,3.68,3.65,3.66,12964400,3.66
2015-12-22,3.68,3.71,3.66,3.66,18072300,3.66
2015-12-21,3.67,3.70,3.65,3.67,13756300,3.67
2015-12-18,3.76,3.79,3.75,3.76,19044300,3.69
2015-12-17,3.78,3.83,3.76,3.78,33768700,3.71
2015-12-16,3.78,3.79,3.75,3.76,26754400,3.69
2015-12-15,3.76,3.79,3.75,3.76,17867300,3.69
2015-12-14,3.80,3.81,3.77,3.79,16943900,3.72
2015-12-11,3.86,3.87,3.83,3.84,17016500,3.77
2015-12-10,3.82,3.86,3.80,3.85,15850500,3.78
2015-12-09,3.85,3.87,3.80,3.81,14960100,3.74
2015-12-08,3.84,3.87,3.80,3.85,22063100,3.78
2015-12-07,3.85,3.86,3.83,3.85,14724700,3.78
2015-12-04,3.80,3.82,3.79,3.82,14523700,3.75
2015-12-03,3.81,3.83,3.79,3.82,14461800,3.75
2015-12-02,3.85,3.88,3.83,3.84,17420700,3.77
2015-12-01,3.82,3.88,3.81,3.83,19395300,3.76
2015-11-30,3.85,3.86,3.82,3.83,35521800,3.76
2015-11-27,3.81,3.82,3.76,3.80,22730200,3.73
2015-11-26,3.82,3.86,3.81,3.81,25803700,3.74
2015-11-25,3.88,3.88,3.79,3.80,29179800,3.73
2015-11-24,3.85,3.90,3.83,3.87,13004100,3.80
2015-11-23,3.89,3.90,3.85,3.85,11927200,3.78
2015-11-20,3.85,3.90,3.83,3.89,13224100,3.82
2015-11-19,3.83,3.89,3.82,3.87,14843500,3.80
2015-11-18,3.84,3.85,3.78,3.80,19876800,3.73
2015-11-17,3.84,3.88,3.80,3.84,20275600,3.77
2015-11-16,3.80,3.84,3.77,3.81,17717800,3.74
2015-11-13,3.85,3.90,3.80,3.86,24769200,3.79
2015-11-12,3.86,3.91,3.85,3.87,20601100,3.80
2015-11-11,3.88,3.92,3.86,3.87,19043300,3.80
2015-11-10,3.87,3.87,3.87,3.87,000,3.80
2015-11-09,3.91,3.92,3.85,3.87,24204200,3.80
2015-11-06,3.96,3.97,3.91,3.92,14500000,3.85
2015-11-05,3.98,4.00,3.92,3.95,18503900,3.88
2015-11-04,3.94,4.01,3.92,4.00,14463500,3.93
2015-11-03,3.98,3.99,3.92,3.92,14279600,3.85
2015-11-02,3.90,3.95,3.88,3.94,17685100,3.87
2015-10-30,3.97,3.98,3.92,3.98,21591400,3.91
2015-10-29,4.04,4.07,3.97,3.97,25109800,3.90
2015-10-28,4.03,4.09,4.01,4.05,15800300,3.98
2015-10-27,4.05,4.07,4.00,4.01,17924900,3.94
2015-10-26,4.04,4.10,4.03,4.07,23397300,4.00
2015-10-23,4.00,4.04,3.98,4.02,19465700,3.95
2015-10-22,3.91,3.95,3.91,3.93,11872200,3.86
2015-10-21,3.94,3.95,3.89,3.90,16968400,3.83
2015-10-20,3.90,3.92,3.87,3.89,14966000,3.82
2015-10-19,3.94,3.94,3.87,3.89,14015500,3.82
2015-10-16,3.93,3.97,3.92,3.94,19549500,3.87
2015-10-15,3.85,3.91,3.85,3.90,23065500,3.83
2015-10-14,3.86,3.89,3.83,3.86,21362700,3.79
2015-10-13,3.91,3.92,3.84,3.85,32455900,3.78
2015-10-12,3.84,3.92,3.79,3.91,38520800,3.84
2015-10-09,3.79,3.85,3.78,3.85,32300400,3.78
2015-10-08,3.77,3.79,3.74,3.77,24341500,3.70
2015-10-07,3.74,3.77,3.68,3.75,38629800,3.68
2015-10-06,3.72,3.76,3.68,3.76,37918400,3.69
2015-10-05,3.60,3.66,3.57,3.66,28307800,3.59
2015-10-02,3.59,3.59,3.52,3.56,22335400,3.50
2015-10-01,3.58,3.62,3.57,3.60,19489700,3.53
2015-09-30,3.54,3.61,3.53,3.60,46270000,3.53
2015-09-29,3.47,3.56,3.43,3.55,31268500,3.49
2015-09-28,3.60,3.60,3.48,3.52,63195900,3.46
2015-09-25,3.66,3.68,3.63,3.64,45333900,3.57
2015-09-24,3.70,3.70,3.70,3.70,000,3.63
2015-09-23,3.72,3.72,3.64,3.70,28469000,3.63
2015-09-22,3.75,3.75,3.70,3.70,21731400,3.63
2015-09-21,3.76,3.77,3.73,3.75,18353600,3.68
2015-09-18,3.74,3.81,3.73,3.80,35869300,3.73
2015-09-17,3.69,3.77,3.69,3.72,22167700,3.65
2015-09-16,3.71,3.74,3.69,3.69,34269400,3.62
2015-09-15,3.70,3.71,3.67,3.68,19938500,3.61
2015-09-14,3.73,3.76,3.71,3.72,15842500,3.65
2015-09-11,3.75,3.75,3.75,3.75,000,3.68
2015-09-10,3.70,3.76,3.67,3.72,21380700,3.65
2015-09-09,3.67,3.83,3.66,3.77,48370200,3.70
2015-09-08,3.65,3.66,3.58,3.65,33245500,3.58
2015-09-07,3.67,3.71,3.65,3.67,19253400,3.60
2015-09-04,3.69,3.73,3.66,3.69,33634000,3.62
2015-09-03,3.70,3.71,3.69,3.70,17680500,3.63
